pose_id	source_candidate_id	source_molecule_name	source_pose_rank	source_pose	source_pose_sha256	normalized_pose_relpath	normalized_pose_sha256	normalized_vhh_chain	normalized_target_chain	vhh_length	target_length	loop_string	seqs_per_pose	temperature	physical_gpu	worker_slot	status	cdr_label_status
FPMPNN_011_case02_pos_02_PVRIG-20__pose02	case02_pos_02_PVRIG-20	PVRIG-20	2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose02__cluster_2_model_1.pdb	70addd6d55a3b897806887aef443d5d82af4d87cd0d751ebb97b7e6d0615d624	poses_ht_labeled/FPMPNN_011_case02_pos_02_PVRIG-20__pose02.pdb	86b46661d1f2b504b8503f0157464bb381289faf6e05e9744294f3c1ffda3047	H	T	121	103	H1,H2,H3	16	0.2	4	1	PENDING_SMOKE_CDR_LABELS_VERIFIED	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_012_case02_pos_02_PVRIG-20__pose03	case02_pos_02_PVRIG-20	PVRIG-20	3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose03__cluster_3_model_1.pdb	a3b8a0e9cc43499b2246d9a998ca84fa2a108d71da532c8df71ddde454a6f45b	poses_ht_labeled/FPMPNN_012_case02_pos_02_PVRIG-20__pose03.pdb	9cf78dd13cf13fff59f22222c7f45af9ca478e0d50a48c6edd5d6c451bc3a9a8	H	T	121	103	H1,H2,H3	16	0.2	5	1	PENDING_SMOKE_CDR_LABELS_VERIFIED	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_013_case02_pos_02_PVRIG-20__pose04	case02_pos_02_PVRIG-20	PVRIG-20	4	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose04__cluster_4_model_1.pdb	c843f87e68878459a754b6059b67506e8bcf8e9626066228d0967ac39858e6b3	poses_ht_labeled/FPMPNN_013_case02_pos_02_PVRIG-20__pose04.pdb	e54e687caefecda42897679dfb1b1189d2fda09e938a7057406ed75c2723d92d	H	T	121	103	H1,H2,H3	16	0.2	6	1	PENDING_SMOKE_CDR_LABELS_VERIFIED	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_014_case02_pos_02_PVRIG-20__pose05	case02_pos_02_PVRIG-20	PVRIG-20	5	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose05__cluster_4_model_2.pdb	1dc1bfe9e3205d649d67205b1b2f95bf7f8b8fe0f35d4275dc39a0aa561b0dd6	poses_ht_labeled/FPMPNN_014_case02_pos_02_PVRIG-20__pose05.pdb	668afe3e74d21823bbc412b80f7c0d1898a7f71f68b2045b17d4a7a7c14a937d	H	T	121	103	H1,H2,H3	16	0.2	7	1	PENDING_SMOKE_CDR_LABELS_VERIFIED	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_015_case02_pos_02_PVRIG-20__pose06	case02_pos_02_PVRIG-20	PVRIG-20	6	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose06__cluster_5_model_1.pdb	640d7fa1b6c95538e85f210bffd5be351baed36fe7949cfd238f46797204b479	poses_ht_labeled/FPMPNN_015_case02_pos_02_PVRIG-20__pose06.pdb	ce58f1c06abf21a27d3c14fadf02120744c5a77f692c4b743c0cef2027c67b89	H	T	121	103	H1,H2,H3	16	0.2	1	2	PENDING_SMOKE_CDR_LABELS_VERIFIED	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_016_case02_pos_02_PVRIG-20__pose07	case02_pos_02_PVRIG-20	PVRIG-20	7	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose07__cluster_6_model_1.pdb	326fb040355b1b04603ea4e89310eb6dd16c0a6603baa6462a70eb00f39d5f7e	poses_ht_labeled/FPMPNN_016_case02_pos_02_PVRIG-20__pose07.pdb	ecdc84e5404cabea0190d9bc4ee2f9134aa867a609ed588c9550d61cd54fe181	H	T	121	103	H1,H2,H3	16	0.2	2	2	PENDING_SMOKE_CDR_LABELS_VERIFIED	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_017_case02_pos_02_PVRIG-20__pose08	case02_pos_02_PVRIG-20	PVRIG-20	8	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose08__cluster_7_model_1.pdb	7e7888d3bcbf970245c2c54f2529313d1e86e25aa5ee22cb74097f833890c351	poses_ht_labeled/FPMPNN_017_case02_pos_02_PVRIG-20__pose08.pdb	ebb258ee68a7f1bc5b117f3ff0a7cf0da09fe69dc874bc54e808d3e79577930f	H	T	121	103	H1,H2,H3	16	0.2	3	2	PENDING_SMOKE_CDR_LABELS_VERIFIED	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_018_case02_pos_02_PVRIG-20__pose09	case02_pos_02_PVRIG-20	PVRIG-20	9	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose09__cluster_7_model_2.pdb	773f8ff07470b789bbfd5293d1805493eb50ab1027c7630f311434a78b6be297	poses_ht_labeled/FPMPNN_018_case02_pos_02_PVRIG-20__pose09.pdb	b007706cddc54eea0fc5b9895e2c41d9dcbe8ff8da287d6ddd9b0867deb13201	H	T	121	103	H1,H2,H3	16	0.2	4	2	PENDING_SMOKE_CDR_LABELS_VERIFIED	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_019_case02_pos_03_PVRIG-30__pose01	case02_pos_03_PVRIG-30	PVRIG-30	1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose01__cluster_1_model_1.pdb	6457d8fc457be9a73a046908f69e318ec552d50213f251c822c3434434e208d5	poses_ht_labeled/FPMPNN_019_case02_pos_03_PVRIG-30__pose01.pdb	0892160d562f9a8225442634cb1b89c69f80ff44f697b6d46ed683789338c9f7	H	T	121	103	H1,H2,H3	16	0.2	5	2	PENDING_SMOKE_CDR_LABELS_VERIFIED	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_020_case02_pos_03_PVRIG-30__pose02	case02_pos_03_PVRIG-30	PVRIG-30	2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose02__cluster_1_model_2.pdb	94f68d6f7f646c8bf8348a66495d1a4bacde5b4910179e117193be117677f98d	poses_ht_labeled/FPMPNN_020_case02_pos_03_PVRIG-30__pose02.pdb	32082bdd136408141aa48eaa544ee7e52ebaac7e61fb772a63884e9c55c75f47	H	T	121	103	H1,H2,H3	16	0.2	6	2	PENDING_SMOKE_CDR_LABELS_VERIFIED	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_021_case02_pos_03_PVRIG-30__pose03	case02_pos_03_PVRIG-30	PVRIG-30	3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose03__cluster_2_model_1.pdb	9569d4b57f51b60ffb693ef6e3d68b98ae9ed5edb0b4fc761f6f25462af41565	poses_ht_labeled/FPMPNN_021_case02_pos_03_PVRIG-30__pose03.pdb	087deab41fe6a0fff5b0332cf4c3141303b4a9705e6bdcd0f69eda1cfa705400	H	T	121	103	H1,H2,H3	16	0.2	7	2	PENDING_SMOKE_CDR_LABELS_VERIFIED	EXACT_SEQUENCE_MATCH_3_OF_3
