candidate_id	unified_qc397_geometry_rank	selection_channel	reason	static_review_status
NODE1GEN_025653_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_ekg_L_bb054_mpn08_arm_P2_ekg_L_backbone_P2_ekg_L_bb054_status_NEEDS_RF2_AND_DOCKING	101	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_203456_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__748CF4AB7ABA033E	102	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_092802_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qrg_L_bb096_mpn00_arm_P4_qrg_L_backbone_P4_qrg_L_bb096_status_NEEDS_RF2_AND_DOCKING	103	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_176578_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__1E7F83C57F70D65A	104	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_001275_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_ekg_L_bb106_mpn04_arm_P1_ekg_L_backbone_P1_ekg_L_bb106_status_NEEDS_RF2_AND_DOCKING	106	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_221809_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__FD4159DF1A3393FD	107	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_152364_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__C319E1C2DC832260	108	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_257837_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__24C39F174757E832	109	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_134023_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qkg_L_bb054_mpn04_arm_P6_qkg_L_backbone_P6_qkg_L_bb054_status_NEEDS_RF2_AND_DOCKING	110	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_036295_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qkg_L_bb251_mpn08_arm_P2_qkg_L_backbone_P2_qkg_L_bb251_status_NEEDS_RF2_AND_DOCKING	111	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_010358_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_qkg_L_bb169_mpn08_arm_P1_qkg_L_backbone_P1_qkg_L_bb169_status_NEEDS_RF2_AND_DOCKING	112	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_150676_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__5257189CF1CE6413	113	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_053317_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_ekg_L_bb285_mpn09_arm_P3_ekg_L_backbone_P3_ekg_L_bb285_status_NEEDS_RF2_AND_DOCKING	114	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
