pose_id	source_candidate_id	source_molecule_name	source_pose_rank	source_pose	source_pose_sha256	normalized_pose_relpath	normalized_pose_sha256	normalized_vhh_chain	normalized_target_chain	vhh_length	target_length	loop_string	seqs_per_pose	temperature	physical_gpu	worker_slot	status
FPMPNN_011_case02_pos_02_PVRIG-20__pose02	case02_pos_02_PVRIG-20	PVRIG-20	2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose02__cluster_2_model_1.pdb	70addd6d55a3b897806887aef443d5d82af4d87cd0d751ebb97b7e6d0615d624	poses_ht/FPMPNN_011_case02_pos_02_PVRIG-20__pose02.pdb	210de0dc811fbb0bd450dfb35139daeb8178932259170dfe988792bbf6a86e41	H	T	121	103	H1,H2,H3	1200	0.2	4	1	PENDING_SMOKE
FPMPNN_012_case02_pos_02_PVRIG-20__pose03	case02_pos_02_PVRIG-20	PVRIG-20	3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose03__cluster_3_model_1.pdb	a3b8a0e9cc43499b2246d9a998ca84fa2a108d71da532c8df71ddde454a6f45b	poses_ht/FPMPNN_012_case02_pos_02_PVRIG-20__pose03.pdb	9b352b1689300b90b3c0d44943b178c15956d63969a4e759a465a55fa72c9a31	H	T	121	103	H1,H2,H3	1200	0.2	5	1	PENDING_SMOKE
FPMPNN_013_case02_pos_02_PVRIG-20__pose04	case02_pos_02_PVRIG-20	PVRIG-20	4	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose04__cluster_4_model_1.pdb	c843f87e68878459a754b6059b67506e8bcf8e9626066228d0967ac39858e6b3	poses_ht/FPMPNN_013_case02_pos_02_PVRIG-20__pose04.pdb	263391f823e74614981b42d81acf39ff0925d53cc6eb5d2bb36db09feb3a583f	H	T	121	103	H1,H2,H3	1200	0.2	6	1	PENDING_SMOKE
FPMPNN_014_case02_pos_02_PVRIG-20__pose05	case02_pos_02_PVRIG-20	PVRIG-20	5	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose05__cluster_4_model_2.pdb	1dc1bfe9e3205d649d67205b1b2f95bf7f8b8fe0f35d4275dc39a0aa561b0dd6	poses_ht/FPMPNN_014_case02_pos_02_PVRIG-20__pose05.pdb	f8b406e23a801907c3a3f620ed9d7f878daec941d86cec2ef3beb5798c74d5d0	H	T	121	103	H1,H2,H3	1200	0.2	7	1	PENDING_SMOKE
FPMPNN_015_case02_pos_02_PVRIG-20__pose06	case02_pos_02_PVRIG-20	PVRIG-20	6	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose06__cluster_5_model_1.pdb	640d7fa1b6c95538e85f210bffd5be351baed36fe7949cfd238f46797204b479	poses_ht/FPMPNN_015_case02_pos_02_PVRIG-20__pose06.pdb	9ddc81b4af7d1c467464fb009ec94534eafcdc3fb27a14ac87862b4ba95de8c2	H	T	121	103	H1,H2,H3	1200	0.2	1	2	PENDING_SMOKE
FPMPNN_016_case02_pos_02_PVRIG-20__pose07	case02_pos_02_PVRIG-20	PVRIG-20	7	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose07__cluster_6_model_1.pdb	326fb040355b1b04603ea4e89310eb6dd16c0a6603baa6462a70eb00f39d5f7e	poses_ht/FPMPNN_016_case02_pos_02_PVRIG-20__pose07.pdb	0a264478bf50324f9d2d03c4777396eb3bcc9fafed7d56db2afe2715575f86cc	H	T	121	103	H1,H2,H3	1200	0.2	2	2	PENDING_SMOKE
FPMPNN_017_case02_pos_02_PVRIG-20__pose08	case02_pos_02_PVRIG-20	PVRIG-20	8	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose08__cluster_7_model_1.pdb	7e7888d3bcbf970245c2c54f2529313d1e86e25aa5ee22cb74097f833890c351	poses_ht/FPMPNN_017_case02_pos_02_PVRIG-20__pose08.pdb	484084d1a7b294b8438d67e73db2cf4595ab20855498e75220ebe6020db39a95	H	T	121	103	H1,H2,H3	1200	0.2	3	2	PENDING_SMOKE
FPMPNN_018_case02_pos_02_PVRIG-20__pose09	case02_pos_02_PVRIG-20	PVRIG-20	9	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose09__cluster_7_model_2.pdb	773f8ff07470b789bbfd5293d1805493eb50ab1027c7630f311434a78b6be297	poses_ht/FPMPNN_018_case02_pos_02_PVRIG-20__pose09.pdb	a8c347652c371d1675093dc97f6822e05bacb40a3cce68307f492a8f19779ddb	H	T	121	103	H1,H2,H3	1200	0.2	4	2	PENDING_SMOKE
FPMPNN_019_case02_pos_03_PVRIG-30__pose01	case02_pos_03_PVRIG-30	PVRIG-30	1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose01__cluster_1_model_1.pdb	6457d8fc457be9a73a046908f69e318ec552d50213f251c822c3434434e208d5	poses_ht/FPMPNN_019_case02_pos_03_PVRIG-30__pose01.pdb	b3517943a3238367354a87b44d580f99cf95f904e1b6834360029640e79fee5c	H	T	121	103	H1,H2,H3	1200	0.2	5	2	PENDING_SMOKE
FPMPNN_020_case02_pos_03_PVRIG-30__pose02	case02_pos_03_PVRIG-30	PVRIG-30	2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose02__cluster_1_model_2.pdb	94f68d6f7f646c8bf8348a66495d1a4bacde5b4910179e117193be117677f98d	poses_ht/FPMPNN_020_case02_pos_03_PVRIG-30__pose02.pdb	ab3714d3e83b3fe542f35228773d56025d1c35115f82ac674580ac5c18b47a87	H	T	121	103	H1,H2,H3	1200	0.2	6	2	PENDING_SMOKE
FPMPNN_021_case02_pos_03_PVRIG-30__pose03	case02_pos_03_PVRIG-30	PVRIG-30	3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose03__cluster_2_model_1.pdb	9569d4b57f51b60ffb693ef6e3d68b98ae9ed5edb0b4fc761f6f25462af41565	poses_ht/FPMPNN_021_case02_pos_03_PVRIG-30__pose03.pdb	0f0aad6d485e6ef999203a7e7c58b3b5c303fa9f7dd103f1cfe53c55190d0304	H	T	121	103	H1,H2,H3	1200	0.2	7	2	PENDING_SMOKE
