job_id	entity_id	conformation	seed	job_hash
CANDIDATE_V29_GEN__C0360__11B4E6C0B157826F_8x6b_s917_06a81704829c	V29_GEN__C0360__11B4E6C0B157826F	8x6b	917	06a81704829ceba6b985702daeec7226682cfbb69a22f60d4f2d18176f6188f5
CANDIDATE_V29_GEN__C0147__6898C07D124DAEEF_9e6y_s3253_06aa5fa7bbd7	V29_GEN__C0147__6898C07D124DAEEF	9e6y	3253	06aa5fa7bbd7d3f57e8ab92037d4138ae5d116bb2229961069a404a5b667e7a7
CANDIDATE_V29_GEN__C0173__687C152E52F8762D_8x6b_s917_06aefe57e05d	V29_GEN__C0173__687C152E52F8762D	8x6b	917	06aefe57e05d4394e8936a18e35e513ba0de60eb5d14daab197323b364eaf6dd
CANDIDATE_V29_GEN__C0210__25CB57A7BF80E9ED_8x6b_s917_06b3ae975ac2	V29_GEN__C0210__25CB57A7BF80E9ED	8x6b	917	06b3ae975ac227e810e8ec33103d60bcbecec861a556ba79cda46b77b5cdd4f4
CANDIDATE_V29_GEN__C0007__5B65DDE4DB75B6C9_8x6b_s917_06bf1423af65	V29_GEN__C0007__5B65DDE4DB75B6C9	8x6b	917	06bf1423af6510f3530b354b2af29ed5cfeb0ccc87509c7990fd1131f7d7dc4a
CANDIDATE_V29_GEN__C0048__8A473446FF6EFD5C_8x6b_s1931_06c2dde59b72	V29_GEN__C0048__8A473446FF6EFD5C	8x6b	1931	06c2dde59b726ee1f810cf13ac4f79d5b944c6b5aeeb7cb7474922d09171b718
CANDIDATE_V29_GEN__C0283__D5CCBC3A66027D67_8x6b_s917_06c5ec9c468d	V29_GEN__C0283__D5CCBC3A66027D67	8x6b	917	06c5ec9c468dcc8d29bac555c3e394440f38fd8432d55758a4bf4a403c44f95c
CANDIDATE_V29_GEN__C0145__5A367A39E560697F_9e6y_s917_06ca5142f462	V29_GEN__C0145__5A367A39E560697F	9e6y	917	06ca5142f462da77bf5f94046601573de1599028aa0dbf8dc4cf7839eb3cce87
CANDIDATE_V29_GEN__C0379__2F84C8D5621EC010_8x6b_s917_06cb5f3fdc03	V29_GEN__C0379__2F84C8D5621EC010	8x6b	917	06cb5f3fdc03869afd7f27eda1761c083eb39edef295634ab680839d82e14ce9
CANDIDATE_V29_GEN__C0139__AE9F25A368140F58_8x6b_s1931_06cc5b04e915	V29_GEN__C0139__AE9F25A368140F58	8x6b	1931	06cc5b04e915737abdd262e750bf04723a013a5bd5a32be310f2f7a01ca3ced7
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00895__C_CROSS__H3__B00__M00_9e6y_s917_06cdef153175	V29_RF__RFV1__PLDNANO_VHH_00895__C_CROSS__H3__B00__M00	9e6y	917	06cdef1531750a1a5b09b02979ad07230afca4d824f2ffa932324e426d5f760e
CANDIDATE_V29_GEN__C0138__91F2BFE3A146303A_9e6y_s917_06cf065dfd6b	V29_GEN__C0138__91F2BFE3A146303A	9e6y	917	06cf065dfd6bf2480f1db997ebe5ccee6cbbc89984b1e4aac8e298aea83e1ad8
CANDIDATE_V29_GEN__C0030__EC4434BE134003C9_8x6b_s1931_06da942df460	V29_GEN__C0030__EC4434BE134003C9	8x6b	1931	06da942df46061b36dc797c53ee9ac5063f4dd21b5c1fe976dbb543b055c5c52
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00756__C_CROSS__H1H3__B03__M02_8x6b_s1931_06e1c2ba525a	V29_RF__RFV1__PLDNANO_VHH_00756__C_CROSS__H1H3__B03__M02	8x6b	1931	06e1c2ba525af29308d1f78cd4b48d31ab04983d1206ccdce5167db33b3c3dd6
CANDIDATE_V29_GEN__C0379__FC2996979F933493_8x6b_s917_06e634108a3e	V29_GEN__C0379__FC2996979F933493	8x6b	917	06e634108a3e93135642d4763b665210a4aaabfb1a3f003d8c0dde3afb11a5c1
CANDIDATE_V29_GEN__C0527__FB29B1F0DE9C72DA_8x6b_s917_06e937f20f30	V29_GEN__C0527__FB29B1F0DE9C72DA	8x6b	917	06e937f20f30f8f3bb10c200ed7e84e6d2135e60cef7b23f8134a40746ab42b3
CANDIDATE_V29_GEN__C0176__B7195689C55D7F12_9e6y_s917_06e9f1eeda3a	V29_GEN__C0176__B7195689C55D7F12	9e6y	917	06e9f1eeda3a0d1e81e438a6bcbe8b7fcf21e79fc9483449d40b35844322019f
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00692__C_CROSS__H3__B04__M00_9e6y_s917_06eb4c1bc74c	V29_RF__RFV1__PLDNANO_VHH_00692__C_CROSS__H3__B04__M00	9e6y	917	06eb4c1bc74c0c1eb018b39ed6705190ff4064c9f24b308d25029628c2b670da
CANDIDATE_V29_GEN__C0283__9E7734FD9FE18214_8x6b_s917_06f06f94f359	V29_GEN__C0283__9E7734FD9FE18214	8x6b	917	06f06f94f3594bd7bf4fb21ef72008068478b62a61dd9b2031b2d9f8415993f6
CANDIDATE_V29_GEN__C0115__FD7D8BA222C857F5_9e6y_s917_06f663560190	V29_GEN__C0115__FD7D8BA222C857F5	9e6y	917	06f66356019076cdf1ea61a1633e6899de0fd4139d436f1eec332c9a07b97973
CANDIDATE_V29_GEN__C0007__D2BC76B4902DF720_8x6b_s1931_06f9133f47e8	V29_GEN__C0007__D2BC76B4902DF720	8x6b	1931	06f9133f47e807901c4544d425e783a47f33e7a11f4a32de6cc13b9a2ba3a376
CANDIDATE_V29_GEN__C0173__4548A4F45D03AEB7_9e6y_s917_06f9f14e1754	V29_GEN__C0173__4548A4F45D03AEB7	9e6y	917	06f9f14e1754abcd578b323b775959899d4c4c613bcfa7dc4237a4c26d3441bd
CANDIDATE_V29_GEN__C0102__C4972C4F0F6F5B74_8x6b_s917_06fecefe0db0	V29_GEN__C0102__C4972C4F0F6F5B74	8x6b	917	06fecefe0db0c233558c686c5fc737e1d4ffe411a7a59b1172e050c4303ee260
CANDIDATE_V29_GEN__C0176__69F4455842049EDC_9e6y_s917_0701f287e3c6	V29_GEN__C0176__69F4455842049EDC	9e6y	917	0701f287e3c6e2ee9c7142bc4c7832263f567e765cc89fa1b6ffb45f204a3efc
CANDIDATE_V29_GEN__C0052__59B8E8F0279E649A_9e6y_s917_07065caaecd5	V29_GEN__C0052__59B8E8F0279E649A	9e6y	917	07065caaecd5d24dd2d55a34f1849d0c106561856707e3f240f52450f8443860
CANDIDATE_V29_GEN__C0299__510957DA3676CF14_8x6b_s917_070bf871d38b	V29_GEN__C0299__510957DA3676CF14	8x6b	917	070bf871d38b3caefc75e327797cc80b26af0898755609ea07e64d799c71f8ee
CANDIDATE_V29_GEN__C0136__8B3CE41EA9F04DC5_8x6b_s917_070dd947808d	V29_GEN__C0136__8B3CE41EA9F04DC5	8x6b	917	070dd947808de1cd86045779fb9daf935b96330ed54faed2c391c03d54608112
CANDIDATE_V29_GEN__C0052__009F27356537A8BA_8x6b_s917_0712ce9dedbc	V29_GEN__C0052__009F27356537A8BA	8x6b	917	0712ce9dedbc893435abd439191a6fa17ec9e241909e56f0348f24f98c82aff8
CANDIDATE_V29_GEN__C0115__CD683F87E2AFBBE3_9e6y_s917_0716452beb05	V29_GEN__C0115__CD683F87E2AFBBE3	9e6y	917	0716452beb05fe69d17d0102ce564acf26aa6404f9072de3dd2bb67214fdb643
CANDIDATE_V29_GEN__C0090__DC3889A4155477B5_8x6b_s917_071a83bec0b6	V29_GEN__C0090__DC3889A4155477B5	8x6b	917	071a83bec0b60c025ad781f491c838e65720893b19ef88bf52fe8a97b4a50962
CANDIDATE_V29_GEN__C0409__C35484A14BDF5D13_9e6y_s917_071e058868bb	V29_GEN__C0409__C35484A14BDF5D13	9e6y	917	071e058868bb8cfeef054773f84e25afc0350e14995b4b45ae985d260b5f0297
CANDIDATE_V29_GEN__C0144__08304BA773D4F6F2_8x6b_s917_07204f8d7064	V29_GEN__C0144__08304BA773D4F6F2	8x6b	917	07204f8d7064f22693c1d2b41687191805fdeb92cdf7670a473502c0ed51b409
CANDIDATE_V29_GEN__C0411__5C3F59A59E02E984_9e6y_s917_0722bbbd962a	V29_GEN__C0411__5C3F59A59E02E984	9e6y	917	0722bbbd962a1c7669dbd31d686e84af033e755350ac56da922246b9086b0969
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00882__C_CROSS__H1H3__B05__M02_8x6b_s917_073034400806	V29_RF__RFV1__PLDNANO_VHH_00882__C_CROSS__H1H3__B05__M02	8x6b	917	073034400806f70f4646ebfdb0a8c8670d4e0920579b3cbfcb1c8d27e5b0e945
CANDIDATE_V29_GEN__C0007__5AB8A6E7B29DE4C5_9e6y_s1931_073411f934ad	V29_GEN__C0007__5AB8A6E7B29DE4C5	9e6y	1931	073411f934adc97fa97c1786dc7174cbe1f38427da2c126a9e3bc5721739b95e
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00623__A_CENTER__H3__B09__M00_8x6b_s3253_0736de2dc5a8	V29_RF__RFV1__PLDNANO_VHH_00623__A_CENTER__H3__B09__M00	8x6b	3253	0736de2dc5a8fc6e00f0f17e455ded2c67aa2cb15a9ed245c5fccd18d6938b48
CANDIDATE_V29_GEN__C0115__C5EA85EACA07FCC9_9e6y_s3253_0738024ca734	V29_GEN__C0115__C5EA85EACA07FCC9	9e6y	3253	0738024ca7343e8c77ad266d22361977b69720736fde00b38bd4da9949933b78
CANDIDATE_V29_GEN__C0514__DD43D4ED3469071B_9e6y_s917_073a079368b6	V29_GEN__C0514__DD43D4ED3469071B	9e6y	917	073a079368b6fc1343fbeefe11df0b3698278f066c202c5ae76720e2e1ac7816
CANDIDATE_V29_GEN__C0030__682D8324870EF006_8x6b_s917_073bdae60101	V29_GEN__C0030__682D8324870EF006	8x6b	917	073bdae601012d2c7b4976f074db84ed7a1111adddb61b9ab653a15ab3859dc7
CANDIDATE_V29_GEN__C0150__AAE0950E4721808A_9e6y_s917_073caf650dc8	V29_GEN__C0150__AAE0950E4721808A	9e6y	917	073caf650dc8da79a62c48e17bf7ae55f785f50cc2005d7170d3fafcf41cedbe
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00312__B_LOWER__H1H3__B08__M00_9e6y_s917_0742b9041ae1	V29_RF__RFV1__PLDNANO_VHH_00312__B_LOWER__H1H3__B08__M00	9e6y	917	0742b9041ae1a107aca1b6531b0ed29799e1ed8f38a0263a1efc6a0065ed5e3c
