job_id	entity_id	conformation	seed	job_hash
CANDIDATE_V29_GEN__C0324__5ECD04AA96F8F58E_8x6b_s917_000b653a5f73	V29_GEN__C0324__5ECD04AA96F8F58E	8x6b	917	000b653a5f734c3a7d5c9a10286de4906510d4b7a7dd4e37d7cd78d8241e1b3b
CANDIDATE_V29_GEN__C0115__BE9B7FEC36F5AA62_8x6b_s917_000d35d6d9c9	V29_GEN__C0115__BE9B7FEC36F5AA62	8x6b	917	000d35d6d9c93f938086c3532151c1d6afbf3661660d38a1815eacf1bed413af
CANDIDATE_V29_GEN__C0283__8D9B0A82262BF7B2_9e6y_s1931_00116b0a9a59	V29_GEN__C0283__8D9B0A82262BF7B2	9e6y	1931	00116b0a9a59d541e334da297e7ce9e8ee46cbfc9666d231ef8034b0f3c4e0b9
CANDIDATE_V29_GEN__C0514__8BE89ED691A3C5F8_9e6y_s1931_001c45b87b7a	V29_GEN__C0514__8BE89ED691A3C5F8	9e6y	1931	001c45b87b7ab788d879f4edb20daa800607606b71a0d1aa72cc9927eccdb275
CANDIDATE_V29_GEN__C0144__A5D03BC3B1DD0B0F_9e6y_s917_002bb5c5501b	V29_GEN__C0144__A5D03BC3B1DD0B0F	9e6y	917	002bb5c5501b4aa10d41d2b460247ae13fe0ef1ae6e2086492173f98b0684cce
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00384__B_LOWER__H3__B04__M02_8x6b_s917_002cd8f8898c	V29_RF__RFV1__PLDNANO_VHH_00384__B_LOWER__H3__B04__M02	8x6b	917	002cd8f8898c15b3d5d024d2e9b2889a2f88b5fc165a740204bb9d5b7bb3d235
CANDIDATE_V29_GEN__C0125__D3A353572795E32E_8x6b_s917_002fedfafbed	V29_GEN__C0125__D3A353572795E32E	8x6b	917	002fedfafbed5588ff41c2845ca5e8806f31cbc04fa71370fcc4935417bd1522
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00895__B_LOWER__H1H3__B05__M01_8x6b_s917_0030a111418d	V29_RF__RFV1__PLDNANO_VHH_00895__B_LOWER__H1H3__B05__M01	8x6b	917	0030a111418d42b605379d6fdc199fb6035dad69ee54318e159f4aef8ed8522b
CANDIDATE_V29_GEN__C0210__C0562450A6D286D9_8x6b_s1931_00451acea005	V29_GEN__C0210__C0562450A6D286D9	8x6b	1931	00451acea00525e6e230fe438699cd130f629841bcee240de1b753f3c7aab2c6
CANDIDATE_V29_GEN__C0283__267D9896DA5EDAEA_8x6b_s917_00494ecb1141	V29_GEN__C0283__267D9896DA5EDAEA	8x6b	917	00494ecb1141b1e51cb7c80a30ea66e7e7385b9929ed2741e29e94545fd76b31
CANDIDATE_V29_GEN__C0411__4D739E099FC004BD_8x6b_s917_0052c33abe96	V29_GEN__C0411__4D739E099FC004BD	8x6b	917	0052c33abe96f9d82c335383918368f0c46202698656aecb09161f11ec473bf6
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00515__C_CROSS__H3__B09__M00_8x6b_s917_005682f43c55	V29_RF__RFV1__PLDNANO_VHH_00515__C_CROSS__H3__B09__M00	8x6b	917	005682f43c55f231b8c174b9db2c64787af8063d1785d06cb2742817478c1a04
CANDIDATE_V29_GEN__C0147__6366C9626C12C436_9e6y_s917_005af4d95a9c	V29_GEN__C0147__6366C9626C12C436	9e6y	917	005af4d95a9ca74f26489386d9e87eaa0e5808f421d7e52ea4954a26b5c2c58e
CANDIDATE_V29_GEN__C0409__D49E35CD90C463BB_9e6y_s917_005d8a3a1e27	V29_GEN__C0409__D49E35CD90C463BB	9e6y	917	005d8a3a1e272ca7c75161e318b4f5a75c3c72df8c39f29df711b441ec88bdcf
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00756__A_CENTER__H3__B00__M02_9e6y_s1931_0062a308b5aa	V29_RF__RFV1__PLDNANO_VHH_00756__A_CENTER__H3__B00__M02	9e6y	1931	0062a308b5aa7046d94390d2518989e63863d5f9a90c8938d447587b3a39e1ee
CANDIDATE_V29_GEN__C0125__ED40D3E9A8658D09_9e6y_s917_006a14aecf1e	V29_GEN__C0125__ED40D3E9A8658D09	9e6y	917	006a14aecf1eb48edb39c5f719bb8a9a61a3f0e737c3474b964f73ad25e00b16
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00384__A_CENTER__H3__B10__M00_9e6y_s917_00728f3f97d7	V29_RF__RFV1__PLDNANO_VHH_00384__A_CENTER__H3__B10__M00	9e6y	917	00728f3f97d799d7547de5bb0d9cd5dd592950f8fb2cc4fedd2f2be4e4551afc
CANDIDATE_V29_GEN__C0119__D2F52502267906CF_9e6y_s917_00759a26a8d5	V29_GEN__C0119__D2F52502267906CF	9e6y	917	00759a26a8d52471f8c9be8c489e34a9e823d87263e8659a656567b595961b13
CANDIDATE_V29_GEN__C0418__7153DC1A080965EF_8x6b_s1931_007d208beade	V29_GEN__C0418__7153DC1A080965EF	8x6b	1931	007d208beade726487fb24058c66cc94512ba0feec8c6220cb7db5394e48ce59
CANDIDATE_V29_GEN__C0147__E04CDBB1BE868BAF_8x6b_s917_007d5aa88544	V29_GEN__C0147__E04CDBB1BE868BAF	8x6b	917	007d5aa885446d4d1faf8e8897a135698b531d3b3a185a8dcd4d907ed02f95c6
CANDIDATE_V29_GEN__C0007__46EEBF1088CF9750_9e6y_s917_0082ef1c412d	V29_GEN__C0007__46EEBF1088CF9750	9e6y	917	0082ef1c412df68f699ec2f0712ce3824d6ef7f1af86e76d29a4c7244095b9bc
CANDIDATE_V29_GEN__C0054__F61E31DF6FC9BC66_8x6b_s917_0089838d5def	V29_GEN__C0054__F61E31DF6FC9BC66	8x6b	917	0089838d5def246260b5d6bb991b5d76e4468eb08d48b9b552302364d9783653
CANDIDATE_V29_GEN__C0054__B30D2ACF69E89C98_9e6y_s3253_0092de185135	V29_GEN__C0054__B30D2ACF69E89C98	9e6y	3253	0092de185135f4c77b83deac18ac47da1ee2a47e5bb2ace88adcb5c10cef1817
CANDIDATE_V29_GEN__C0138__79193360217027E0_8x6b_s917_009762557fee	V29_GEN__C0138__79193360217027E0	8x6b	917	009762557feeeb35a240a244718c7dbf1b84039891fc0ab67ff31969d1b52e36
CANDIDATE_V29_GEN__C0125__C3C412B062A78B63_9e6y_s917_009a145901c6	V29_GEN__C0125__C3C412B062A78B63	9e6y	917	009a145901c6daea2a72c137183d2f40cbf65e27108a9aeff75bff459043344b
CANDIDATE_V29_GEN__C0074__AF163041DC5EEF76_9e6y_s917_009d51e75786	V29_GEN__C0074__AF163041DC5EEF76	9e6y	917	009d51e7578613c299b4626628323e536385dab6d40ff5de844a85adf7f61462
CANDIDATE_V29_GEN__C0009__2B0E62DD603B722A_8x6b_s3253_00a19a28dd39	V29_GEN__C0009__2B0E62DD603B722A	8x6b	3253	00a19a28dd397ced310b376d3dff64934563a44d0a98417a25192a3aaf92553f
CANDIDATE_V29_GEN__C0219__15EE0466CEAA7F29_8x6b_s917_00a3daa0902f	V29_GEN__C0219__15EE0466CEAA7F29	8x6b	917	00a3daa0902fc6b48fa5fcdc9a56425f822ddb592b161ccf92b7112702d53319
CANDIDATE_V29_GEN__C0119__198EC3631C0CAF21_8x6b_s917_00a6fbab3fb1	V29_GEN__C0119__198EC3631C0CAF21	8x6b	917	00a6fbab3fb1ca0c1ddf793f2dced4278aeed00ae25586594fbda0aba87b9446
CANDIDATE_V29_GEN__C0116__FFDDFFB06BA15075_9e6y_s917_00a9bd972c6b	V29_GEN__C0116__FFDDFFB06BA15075	9e6y	917	00a9bd972c6b91ed752d24cb26ef671b33f69fdb624bfde9a85bf34c596bb664
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B03__M02_8x6b_s917_00ae35a8e58e	V29_RF__RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B03__M02	8x6b	917	00ae35a8e58e7d9e47ae37a8381d7652446b3484899d99f0033b3458f92d493c
CANDIDATE_V29_GEN__C0114__841F4115FA7C0E89_9e6y_s1931_00b65a9560c6	V29_GEN__C0114__841F4115FA7C0E89	9e6y	1931	00b65a9560c6a85ce8ca29e75a4513714d65fab2e23e6f2e88a9aa2fbbb4a9c5
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00322__C_CROSS__H1H3__B10__M01_9e6y_s917_00bb3a864514	V29_RF__RFV1__PLDNANO_VHH_00322__C_CROSS__H1H3__B10__M01	9e6y	917	00bb3a8645145e2fe0b6ba8ce8841591320e9aa4f0d385d3ef2e5390df4632c5
CANDIDATE_V29_GEN__C0448__079BBFDB376CC70F_8x6b_s1931_00bc25f2eb66	V29_GEN__C0448__079BBFDB376CC70F	8x6b	1931	00bc25f2eb66da61debb579f2a7b10bc21f3c234f5e5da49323b2321a76236a8
CANDIDATE_V29_GEN__C0001__E415957F09914F84_9e6y_s917_00bd8f85ce8d	V29_GEN__C0001__E415957F09914F84	9e6y	917	00bd8f85ce8dfc4c04625bec56b4480b6e316591be07c24e8bfc065cbb6a8c10
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00515__B_LOWER__H3__B03__M02_9e6y_s917_00cb0e404d94	V29_RF__RFV1__PLDNANO_VHH_00515__B_LOWER__H3__B03__M02	9e6y	917	00cb0e404d94da74e979cd6245911cc277b2cac636c00a759b03cdb172eb58c9
CANDIDATE_V29_GEN__C0113__EE3D85833907DB21_9e6y_s917_00cd1b87eda1	V29_GEN__C0113__EE3D85833907DB21	9e6y	917	00cd1b87eda1a438c65034bfdf969d95d5eaf2eabcff555da5855dfee8b22923
CANDIDATE_V29_GEN__C0409__864826E8CC0B2B0E_9e6y_s917_00cf5ff49158	V29_GEN__C0409__864826E8CC0B2B0E	9e6y	917	00cf5ff49158e319b35bd790a1e1e14b00aeaed71952aa855330ec7e4fffc6f8
CANDIDATE_V29_GEN__C0125__8CF993DD8FA78D90_9e6y_s1931_00d4d649ac47	V29_GEN__C0125__8CF993DD8FA78D90	9e6y	1931	00d4d649ac47c0b20f6a4bb62ee4230f995acc07753c1eba3270e3b3b21f44e0
CANDIDATE_V29_GEN__C0054__9DBA926AFED7062B_9e6y_s917_00d9dc926628	V29_GEN__C0054__9DBA926AFED7062B	9e6y	917	00d9dc9266285686181193b62d5374cfd94151df8bdb2622392a13378b0a34d1
CANDIDATE_V29_GEN__C0106__46DC42DE0A333553_9e6y_s917_00ddc8574cb3	V29_GEN__C0106__46DC42DE0A333553	9e6y	917	00ddc8574cb38d6abda8876ec3c1d9f0feb86183538df52651fa31a23e8f509b
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00481__A_CENTER__H3__B10__M00_8x6b_s1931_00e2e22c0cca	V29_RF__RFV1__PLDNANO_VHH_00481__A_CENTER__H3__B10__M00	8x6b	1931	00e2e22c0cca88c601d0b8ad60becf3787f5d8df97e810e72f8cf454d1076784
CANDIDATE_V29_GEN__C0146__B59418369A165357_9e6y_s917_00e470b82140	V29_GEN__C0146__B59418369A165357	9e6y	917	00e470b82140f94885088df9c4bd2d809cbe200569b3ab8b22b50e3742594c82
CANDIDATE_V29_GEN__C0448__A1545C9E33CE991B_8x6b_s917_00ea47e16e8a	V29_GEN__C0448__A1545C9E33CE991B	8x6b	917	00ea47e16e8ae0c3aebe9dcf524db9d99e75b9838c6a3042430a5a619fcab8e0
CANDIDATE_V29_GEN__C0173__E098741FDA93BC0D_9e6y_s917_00eb66a6bdfd	V29_GEN__C0173__E098741FDA93BC0D	9e6y	917	00eb66a6bdfd3aec1b6d15dcf70c8c008d48d5d739ec5e2cd58bebc89540de5c
CANDIDATE_V29_GEN__C0409__BD3536B11D2261D5_9e6y_s917_00ee5b6d7b8a	V29_GEN__C0409__BD3536B11D2261D5	9e6y	917	00ee5b6d7b8a715d0f456a6106e32c1253501cc564487a7d1335abb867e30c6b
CANDIDATE_V29_GEN__C0173__08277F627F59A249_9e6y_s917_00f5df582702	V29_GEN__C0173__08277F627F59A249	9e6y	917	00f5df582702434f27dbc534bd73ce51feee95eae57fc0123d8467207fbf7162
CANDIDATE_V29_GEN__C0527__3ED6F63F05B59208_9e6y_s917_00fa609f74d1	V29_GEN__C0527__3ED6F63F05B59208	9e6y	917	00fa609f74d15bf326c240043a653e4a3476013b4c761d11918851e6f0d16ee9
CANDIDATE_V29_GEN__C0144__C664F339CC64A9F9_9e6y_s917_00ffa20f6e8e	V29_GEN__C0144__C664F339CC64A9F9	9e6y	917	00ffa20f6e8edb727ea8f0956785395310b9d86c56ee89880b8306ed7bcf46cc
CANDIDATE_V29_GEN__C0348__5EA7E7E5E8EDD608_8x6b_s917_010269039545	V29_GEN__C0348__5EA7E7E5E8EDD608	8x6b	917	010269039545b4395db4325dd134244bfcfc4c6866a8a4759f3a54b694e4db4f
CANDIDATE_V29_GEN__C0258__802009E127229590_8x6b_s1931_0107b7ef75fe	V29_GEN__C0258__802009E127229590	8x6b	1931	0107b7ef75fec87dcbab6a2b7a028ca2d0beafa1223d63505e84a386a2355fa2
CANDIDATE_V29_GEN__C0107__248573FADABEC7B1_8x6b_s1931_010c238cd6dc	V29_GEN__C0107__248573FADABEC7B1	8x6b	1931	010c238cd6dc4341c2b0db3d3db323937878984a56ae4736afb41e9627829b74
CANDIDATE_V29_GEN__C0115__B3020EA009DC74E9_8x6b_s917_01166d9853fc	V29_GEN__C0115__B3020EA009DC74E9	8x6b	917	01166d9853fced55449a3eb793c6245e40337a164307a6cb4d8d470ba19f6877
CANDIDATE_V29_GEN__C0113__1B0AE4B929B164FB_8x6b_s917_011cd4a8d90b	V29_GEN__C0113__1B0AE4B929B164FB	8x6b	917	011cd4a8d90bfa33d3407356575979b43af3d42eaee6e87415f04474245a610a
CANDIDATE_V29_GEN__C0119__AE3E0DEC2CF16743_9e6y_s917_012231b8f934	V29_GEN__C0119__AE3E0DEC2CF16743	9e6y	917	012231b8f934127258ee4d1899821a0d6dd8f56b490a9b01eeef5656503d77f7
CANDIDATE_V29_GEN__C0074__063733101B95802B_8x6b_s917_012b3717838b	V29_GEN__C0074__063733101B95802B	8x6b	917	012b3717838b02f8412150a0acec1b8944d7a9c9211478bc5ce0cdb73dbe0a49
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00449__B_LOWER__H1H3__B11__M01_8x6b_s917_0135e67a45b8	V29_RF__RFV1__PLDNANO_VHH_00449__B_LOWER__H1H3__B11__M01	8x6b	917	0135e67a45b8a457ffa32b6dfd4eef590fe70d4f9ba6b30c8f3d3c4ae663d067
CANDIDATE_V29_GEN__C0074__D5F31EBE7D5BF840_9e6y_s917_0140d0162f64	V29_GEN__C0074__D5F31EBE7D5BF840	9e6y	917	0140d0162f648e26966d5944c85f9e41eaba66df388842914f52653f2c85426b
CANDIDATE_V29_GEN__C0210__6A413D164FBFEE0F_9e6y_s917_0146ce8a5ab8	V29_GEN__C0210__6A413D164FBFEE0F	9e6y	917	0146ce8a5ab8f7ddea47346288eb33277e7e8c78bf51546412d9b79d37a1f874
CANDIDATE_V29_GEN__C0299__D25F68028C7F1633_8x6b_s917_01493518cba9	V29_GEN__C0299__D25F68028C7F1633	8x6b	917	01493518cba94b50f23d23edced2c4412faa9fdc6ecc6f93ffa6d820857b297d
CANDIDATE_V29_GEN__C0183__68EED0586664AFC5_9e6y_s917_0151471263a3	V29_GEN__C0183__68EED0586664AFC5	9e6y	917	0151471263a3c09d13e287d80a0ac6ce4bfa990e67f276b77e4a33d297d9c5b3
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00874__C_CROSS__H3__B09__M02_9e6y_s3253_015d9159e04d	V29_RF__RFV1__PLDNANO_VHH_00874__C_CROSS__H3__B09__M02	9e6y	3253	015d9159e04d09da0e135517413095e6ffe19fed5106aed835022987b5c72755
CANDIDATE_V29_GEN__C0074__9A8296879E93E07E_8x6b_s917_015dc04decd7	V29_GEN__C0074__9A8296879E93E07E	8x6b	917	015dc04decd7cf8fce3b064af18bee49a3b8b915c9bc057744734d3f5bd08a73
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00371__A_CENTER__H1H3__B01__M00_8x6b_s917_01681eaa3412	V29_RF__RFV1__PLDNANO_VHH_00371__A_CENTER__H1H3__B01__M00	8x6b	917	01681eaa3412ed62459527d74dc7f19e1be5524973658bcb23b313692e53d286
CANDIDATE_V29_GEN__C0119__4EAC1618DD4211AB_9e6y_s1931_016d9888966d	V29_GEN__C0119__4EAC1618DD4211AB	9e6y	1931	016d9888966d027e20f8ae7d063818be07b51b1175f142bdb61d02d602fee62f
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00515__B_LOWER__H3__B09__M02_9e6y_s917_016e71d6cc49	V29_RF__RFV1__PLDNANO_VHH_00515__B_LOWER__H3__B09__M02	9e6y	917	016e71d6cc499a33bd1e4c64fe219141565164e9e304589d632936f4ac455b9f
CANDIDATE_V29_GEN__C0090__1BB5F2EB859F2DBD_8x6b_s917_01721e174092	V29_GEN__C0090__1BB5F2EB859F2DBD	8x6b	917	01721e1740924e971f2aec1e838236ff0d82b8546f229a24479232ff8d81de82
CANDIDATE_V29_GEN__C0001__19175CF553C61FEE_8x6b_s917_01750d8ec4eb	V29_GEN__C0001__19175CF553C61FEE	8x6b	917	01750d8ec4ebc36de6c0f2aab8e620672e19bd7a7263e76e3b4bf7e61335f697
CANDIDATE_V29_GEN__C0146__B5CE9825CACACA25_8x6b_s917_017eb7b23731	V29_GEN__C0146__B5CE9825CACACA25	8x6b	917	017eb7b2373104bf9e7915cb56e4e3630ea764ef37358140200a38feabc85747
CANDIDATE_V29_GEN__C0052__6A69AC8C7960947F_8x6b_s917_0184a0e03c69	V29_GEN__C0052__6A69AC8C7960947F	8x6b	917	0184a0e03c6907b04faba59b33d3429df792dc29c0dd2b6fe47844a7c919e8a9
CANDIDATE_V29_GEN__C0138__0428C9F0CAC022E7_8x6b_s917_0186e239404a	V29_GEN__C0138__0428C9F0CAC022E7	8x6b	917	0186e239404a3e10f5ba7701037afa714860a7e6d8cb58dea3a7191f3284a5b1
CANDIDATE_V29_GEN__C0146__C43CBE8CBD4ADF5E_9e6y_s917_018804c69865	V29_GEN__C0146__C43CBE8CBD4ADF5E	9e6y	917	018804c6986542a1b8c1378d54fe8b59e6a595b257c3e9aa8a302ee2c0bb7aad
CANDIDATE_V29_GEN__C0173__769D208D7664EECD_8x6b_s917_01922758c77e	V29_GEN__C0173__769D208D7664EECD	8x6b	917	01922758c77eb6016a4d555d95eb89567aa3fc724aa6ce2ed1d1d4d6ab06dce6
CANDIDATE_V29_GEN__C0090__EDF1A2D629B50514_9e6y_s917_0196a5cf6fbe	V29_GEN__C0090__EDF1A2D629B50514	9e6y	917	0196a5cf6fbe91662278b68c8698c62b1cfc2ebad7c31f7cb5855eb94b439fe0
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00371__C_CROSS__H1H3__B10__M00_9e6y_s917_0198badc5c42	V29_RF__RFV1__PLDNANO_VHH_00371__C_CROSS__H1H3__B10__M00	9e6y	917	0198badc5c4279fb56119c5f03adb651afd20ca0097e7a8e490e169fbade7d8f
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00565__B_LOWER__H3__B10__M00_8x6b_s917_019bd74088a7	V29_RF__RFV1__PLDNANO_VHH_00565__B_LOWER__H3__B10__M00	8x6b	917	019bd74088a761d5832b414c1292336a1a71022891a47ceab83162f5870f5928
CANDIDATE_V29_GEN__C0518__7429A96331DC864C_8x6b_s917_019f3128d7aa	V29_GEN__C0518__7429A96331DC864C	8x6b	917	019f3128d7aa52c59cb774830348fd3d3ee1dce02de7a50b04b277eab6eab49f
CANDIDATE_V29_GEN__C0054__2DCA75843403F001_8x6b_s917_01a17d72118a	V29_GEN__C0054__2DCA75843403F001	8x6b	917	01a17d72118a08e15aa00ac2a68b7aea2fe0b2d5a6c016a054fecb137a51a979
CANDIDATE_V29_GEN__C0299__AFE933CD517175A0_9e6y_s1931_01a5487daf26	V29_GEN__C0299__AFE933CD517175A0	9e6y	1931	01a5487daf2603a5d917270c946dd38bcaab78f56a46572ce3b69ea683778c62
CANDIDATE_V29_GEN__C0171__D87D19C9BB90D8E8_8x6b_s1931_01a90c4108cd	V29_GEN__C0171__D87D19C9BB90D8E8	8x6b	1931	01a90c4108cd1336d6cdcd32942dc8a704f8ce157693867ac696b1861c05afc8
CANDIDATE_V29_GEN__C0176__0EFD8EABF90294A7_8x6b_s917_01b00ed9dcd0	V29_GEN__C0176__0EFD8EABF90294A7	8x6b	917	01b00ed9dcd09d904e74829c3679f1183f71908b77eb39275bfa6af247c9b166
CANDIDATE_V29_GEN__C0311__77DBAC4B6C7D9482_9e6y_s917_01b05903c831	V29_GEN__C0311__77DBAC4B6C7D9482	9e6y	917	01b05903c831d1867c0952373deb77916d80dd9e019a38a2c99ba13f66730361
CANDIDATE_V29_GEN__C0007__2509477CAEA6268A_9e6y_s917_01b5e915175f	V29_GEN__C0007__2509477CAEA6268A	9e6y	917	01b5e915175f8fa2f5546f3cbb16b86d9081d4f7e707288a3daed0fd93268a2d
CANDIDATE_V29_GEN__C0248__1200DDCB99C74787_9e6y_s917_01bc5ffb25e5	V29_GEN__C0248__1200DDCB99C74787	9e6y	917	01bc5ffb25e534a4fc286890c47400dab9adec0a5fbb85b71520c88700b8c3e8
CANDIDATE_V29_GEN__C0311__77DBAC4B6C7D9482_8x6b_s3253_01c1463ece90	V29_GEN__C0311__77DBAC4B6C7D9482	8x6b	3253	01c1463ece90d198084845b85d185ed7968dd85461c3aca7c33330f8f935a9ea
CANDIDATE_V29_GEN__C0007__8D53B9AD9DFC80FE_8x6b_s3253_01c73b7a2a1a	V29_GEN__C0007__8D53B9AD9DFC80FE	8x6b	3253	01c73b7a2a1ad60f24022c18ed233805cf4802fa52516d7448f4e9e8e39adc5b
CANDIDATE_V29_GEN__C0248__2C8C6568E1517122_9e6y_s917_01cac4e1d7ec	V29_GEN__C0248__2C8C6568E1517122	9e6y	917	01cac4e1d7ec2e6d8f8dbb4542cea850f0c74f71255f643817d08af1746cdef4
CANDIDATE_V29_GEN__C0354__43259D1EF893A6B0_9e6y_s917_01cb61b28dfa	V29_GEN__C0354__43259D1EF893A6B0	9e6y	917	01cb61b28dfaddfafc498b5d73b62b7348d8aaae1eeff9ae5e76aa3e324100e4
CANDIDATE_V29_GEN__C0251__C9173B6389B433A1_8x6b_s917_01d04ec1defc	V29_GEN__C0251__C9173B6389B433A1	8x6b	917	01d04ec1defcd0e5db24b4eb5b7723ecb098db7db36e9d4b686a4795bb4d8259
CANDIDATE_V29_GEN__C0195__41423253E9F4AE34_9e6y_s917_01d0cb0dcafd	V29_GEN__C0195__41423253E9F4AE34	9e6y	917	01d0cb0dcafdeb3f37937f51acfb787c7f47f279c8c30fa60e01e3140e7b6bc7
CANDIDATE_V29_GEN__C0076__137E2A70251A78A9_9e6y_s917_01d7d5616662	V29_GEN__C0076__137E2A70251A78A9	9e6y	917	01d7d5616662e3f6e6fd458e51c07d827a3d176e9bd2a94cbfa2c9060f067da1
CANDIDATE_V29_GEN__C0146__116F88C77F663099_9e6y_s917_01dcc07a219f	V29_GEN__C0146__116F88C77F663099	9e6y	917	01dcc07a219f7db25bf97a7f357b7448c5b74fba7d072807f433b5e30f6d934a
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00197__B_LOWER__H1H3__B11__M00_8x6b_s1931_01df860463be	V29_RF__RFV1__PLDNANO_VHH_00197__B_LOWER__H1H3__B11__M00	8x6b	1931	01df860463bedd378f95369ab42571eb5a54f126b7d99f8f086f6a3c9d4976ce
CANDIDATE_V29_GEN__C0183__9234FBF8E15C90F4_8x6b_s917_01e097f9b571	V29_GEN__C0183__9234FBF8E15C90F4	8x6b	917	01e097f9b5715d769562e0e3303bc56dc3ae8dfa0a84ab22357cad6a7fd9c81b
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00515__A_CENTER__H3__B08__M00_8x6b_s917_01e9aebbcbb6	V29_RF__RFV1__PLDNANO_VHH_00515__A_CENTER__H3__B08__M00	8x6b	917	01e9aebbcbb6c0c966eaf2fc90834395102d6162a2cd17cf18d781178cb35fff
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00616__B_LOWER__H3__B00__M01_9e6y_s917_01eb6d26bb94	V29_RF__RFV1__PLDNANO_VHH_00616__B_LOWER__H3__B00__M01	9e6y	917	01eb6d26bb9479320248856f32b2e94a36a22e4a3e3f61ac87377286eeb2a291
CANDIDATE_V29_GEN__C0007__D59FA3CAF8733D77_9e6y_s917_01ec6c95c1c1	V29_GEN__C0007__D59FA3CAF8733D77	9e6y	917	01ec6c95c1c1dd44ac055706721c30533d575cdc299d2be4c63545c0904392b6
CANDIDATE_V29_GEN__C0076__F0D38739B0D6C3C5_9e6y_s917_01ee246691a5	V29_GEN__C0076__F0D38739B0D6C3C5	9e6y	917	01ee246691a53888f470cca56700a19fa6fe10d5fab4a0c4332a89e96760c76d
CANDIDATE_V29_GEN__C0176__9B8C9B9ACBCDA6B1_8x6b_s917_01ef3be39e6f	V29_GEN__C0176__9B8C9B9ACBCDA6B1	8x6b	917	01ef3be39e6f439723197c7f824debdaf585e1f279776e0f1aa7c3129863cb44
CANDIDATE_V29_GEN__C0102__58A5D830DDE12EEC_9e6y_s917_01f69a325462	V29_GEN__C0102__58A5D830DDE12EEC	9e6y	917	01f69a325462aa5ad806c0882f00ecc2bac5fa21bc20936bcd1ce68e974b91cc
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00456__A_CENTER__H1H3__B06__M01_8x6b_s917_01fb4f3d932e	V29_RF__RFV1__PLDNANO_VHH_00456__A_CENTER__H1H3__B06__M01	8x6b	917	01fb4f3d932edd295de468d849e7cb1bc44254a64f0dac840398a43f9bb2f44d
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00197__B_LOWER__H1H3__B07__M01_8x6b_s917_021110d1189f	V29_RF__RFV1__PLDNANO_VHH_00197__B_LOWER__H1H3__B07__M01	8x6b	917	021110d1189fc94f9cd9aef07a73d2131273be2cac0ed2da243edc4fbb0b732f
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00882__B_LOWER__H1H3__B08__M00_9e6y_s917_021a78e7f83a	V29_RF__RFV1__PLDNANO_VHH_00882__B_LOWER__H1H3__B08__M00	9e6y	917	021a78e7f83aefd8786179bad58c06d6a3b690fccac90ba774428d77d3966262
CANDIDATE_V29_GEN__C0195__4C4D784E32C4EBEB_9e6y_s917_021bdc647ea2	V29_GEN__C0195__4C4D784E32C4EBEB	9e6y	917	021bdc647ea2bf42060b7d5a2153d04a5f028ac84346ea77f9da288db8eb5942
CANDIDATE_V29_GEN__C0090__5B04150298464329_9e6y_s917_021c9f9ecc05	V29_GEN__C0090__5B04150298464329	9e6y	917	021c9f9ecc05aa7ba28fc8a8cd9a648a9a074be9d53b521c08e27fb89ca45c3a
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__C_CROSS__H3__B05__M01_9e6y_s917_0221556d5fa7	V29_RF__RFV1__PLDNANO_VHH_00171__C_CROSS__H3__B05__M01	9e6y	917	0221556d5fa7364252b1e6f244ade5fd3e0f8bf30741955c68901a0c50256cb9
CANDIDATE_V29_GEN__C0411__4BE4C897D05BA351_8x6b_s917_0227e8c33e08	V29_GEN__C0411__4BE4C897D05BA351	8x6b	917	0227e8c33e08bfae11ec38d955c2f9ffbb725cebfdbf9a448535c0a40e619cef
CANDIDATE_V29_GEN__C0514__BC687298742FB1FC_9e6y_s917_022a95318701	V29_GEN__C0514__BC687298742FB1FC	9e6y	917	022a95318701648fff79f032ecbfd1482207d7fe259f00de88868dee81d6de23
