Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0065__00084	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00085	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00087	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00087	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00089	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00098	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00379	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00092	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00092	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00093	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00118	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00124	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00097	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00097	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00098	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00100	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00120	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00101	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00103	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00302	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00220	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00112	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00190	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00211	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0197__00455	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00124	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00345	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00125	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00111	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00114	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00114	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00114	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00115	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00116	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00117	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00119	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00119	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00121	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00134	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00484	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00124	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00125	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00125	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00158	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00165	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00129	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00129	pvrig_8x6b_chainB
