Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0019__00085	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00086	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00104	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00088	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00090	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00265	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00157	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00098	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00124	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00178	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0197__00180	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00110	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00296	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00112	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00098	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00101	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00101	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00101	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00102	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00103	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00104	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00106	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00106	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00108	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00120	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00438	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00111	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00111	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00112	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00140	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00144	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00116	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00116	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00117	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00119	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00145	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00120	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00122	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00356	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00342	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00136	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00286	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00250	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0197__00884	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00147	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00453	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00145	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00130	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00134	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00133	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00133	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00134	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00135	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00136	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00138	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00139	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00140	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00154	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00558	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00143	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00144	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00145	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00179	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00191	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00148	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00148	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00149	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00151	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00180	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00152	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00154	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00451	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00480	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00173	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00484	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00314	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00054	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00184	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00568	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00180	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00162	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00167	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00167	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00165	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00166	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00167	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00168	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00171	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00171	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00172	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00189	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00680	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00175	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00176	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00177	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00219	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00233	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00180	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00180	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00181	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00183	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00215	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00185	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00187	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00564	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00657	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00209	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00665	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00373	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00113	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00226	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00679	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00213	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00194	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00199	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00199	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00197	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00199	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00200	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00200	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00203	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00204	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00204	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00221	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00816	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00208	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00209	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00211	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00262	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00274	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00212	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00212	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00213	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00215	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00254	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00217	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00220	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00652	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00855	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00244	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00888	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00440	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00167	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00264	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00777	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00247	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00226	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00232	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00231	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00229	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00231	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00232	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00232	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00235	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00236	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00236	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00253	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00004	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00240	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00241	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00243	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00306	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00317	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00244	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00244	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00245	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00247	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00292	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00251	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00252	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00719	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00015	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00279	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00137	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00499	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00235	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00303	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00863	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00286	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00258	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00266	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00263	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00261	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00263	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00265	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00264	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00268	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00269	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00268	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00288	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00036	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00272	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00273	pvrig_8x6b_chainB
