timestamp,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_pct,power_draw_w
2026-07-10T10:47:52+08:00,NVIDIA GeForce RTX 5080, 5995, 16303, 1, 47.12
2026-07-10T10:47:54+08:00,NVIDIA GeForce RTX 5080, 5995, 16303, 1, 47.03
2026-07-10T10:47:56+08:00,NVIDIA GeForce RTX 5080, 5995, 16303, 1, 46.79
2026-07-10T10:47:58+08:00,NVIDIA GeForce RTX 5080, 5995, 16303, 1, 47.04
2026-07-10T10:48:01+08:00,NVIDIA GeForce RTX 5080, 5995, 16303, 2, 47.14
2026-07-10T10:48:03+08:00,NVIDIA GeForce RTX 5080, 5995, 16303, 1, 47.16
2026-07-10T10:48:05+08:00,NVIDIA GeForce RTX 5080, 5995, 16303, 2, 47.16
2026-07-10T10:48:07+08:00,NVIDIA GeForce RTX 5080, 5995, 16303, 1, 47.33
2026-07-10T10:48:09+08:00,NVIDIA GeForce RTX 5080, 5995, 16303, 2, 47.25
2026-07-10T10:48:11+08:00,NVIDIA GeForce RTX 5080, 5995, 16303, 2, 47.16
2026-07-10T10:48:13+08:00,NVIDIA GeForce RTX 5080, 5995, 16303, 1, 47.21
2026-07-10T10:48:15+08:00,NVIDIA GeForce RTX 5080, 5988, 16303, 2, 47.04
2026-07-10T10:48:20+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 46.84
2026-07-10T10:48:22+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 46.91
2026-07-10T10:48:24+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 46.96
2026-07-10T10:48:26+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 2, 47.04
2026-07-10T10:48:28+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 47.03
2026-07-10T10:48:30+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 46.95
2026-07-10T10:48:32+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 2, 47.17
2026-07-10T10:48:35+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 2, 47.02
2026-07-10T10:48:37+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 47.08
2026-07-10T10:48:39+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 46.99
2026-07-10T10:48:41+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 47.06
2026-07-10T10:48:43+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 2, 46.99
2026-07-10T10:48:45+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 47.24
2026-07-10T10:48:47+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 2, 46.96
2026-07-10T10:48:49+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 46.94
2026-07-10T10:48:54+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 46.84
2026-07-10T10:48:56+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 46.67
