selection_order	node_index	source_shard	source_shard_selection_rank	release_rank	candidate_id	source_candidate_row_sha256	source_eight_job_ids_sha256	selected_four_job_ids_sha256
15	0	0	15	753	NODE1GEN_210283_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__6DFD8B9C968836EF	bf4b75f789a99e28d439b8cabd61adf759fd14e991f4309bf4b4feb6f522d2c9	a3479269dc60d32f696bb5577eb484d5751e24096582cf2ef0c543c016f8d766	c633eec725c289266d149284a48e45b40c684b639a0e32fe3ba57df2c53c022f
16	0	0	16	761	NODE1GEN_171335_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__E9A118248EA1BFA5	31e5992bde5cdc67acc9c606ca86d9f656e1f7891af857aa38f097b10b9ee93c	00f53262b01721d4a0bbbb335e3ebd6bf288f5a025eeddb50a3ed8f583848372	56407c9e255860cdbc31139db3922a681e2fcada702d570168b589942e3a4aab
17	0	0	17	769	NODE1GEN_165832_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__6D5550C58FB5082B	a1d9513932e6e2fa29353c16a951a9f87c87f5a12956d22a5d9f268ebd52f9c0	2380d126eaaf38c315967612e714ae22f66799f8ea4099e0b1d3a42d5b7678f6	547c7bae7f6e4afbef428fb0ab83b87e3bff01e2d957130842ff50d561443470
18	0	0	18	777	NODE1GEN_142696_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qrg_L_bb087_mpn01_arm_P6_qrg_L_backbone_P6_qrg_L_bb087_status_NEEDS_RF2_AND_DOCKING	b5636b9f101f13b9f91d2b678469525fd98bfe8746c1554ccb19d0ad813c7388	4e80e922039b6ad41852dced4e2004c9ef565ec118e8ef531f779a857b4424a7	5e54a75af8387e605dd153759da1e7ef44ed398152f01bbffe8a1f7e6b55ae94
19	0	0	19	785	NODE1GEN_036694_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qkg_L_bb285_mpn09_arm_P2_qkg_L_backbone_P2_qkg_L_bb285_status_NEEDS_RF2_AND_DOCKING	21a0358eac6f7bee8df2f2e64866e82995fce47b457f3f2ca0e7a20a1d62ff1d	1508fc43f55d6d40c83d0974f26870c8b16a2d38d3f9ce1fc1e5280bbccf8053	3d0742d0113db312835c7eeef95164057f5360bdc0cf094a5dde16f94505dd91
20	0	0	20	793	NODE1GEN_154598_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__5CDAE596284D5274	40b6b30d2a06ba382a6066c540a151c49211a202d7615107ee3dbdf16d53f19f	b8c47c99098440231d23d5e6bafb829c10808135fa021eb0be344a86dc42a038	2f558129f8a65d76379ade173e56040e6b9cfe9225cbc2b27cc3f7a3bdadce95
21	0	0	21	801	NODE1GEN_231546_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__D83F36FA23CD89EF	1fded5932b51e8f5d89bb33885bc286d9483672db07b4998e74ae09f9116c239	5ce23acf804699b71094ea6e0a017f958a77ebd289390e6e6760f9fa42242959	f4d0a08bfe137ee7a0888bfbc6b91eac8c52fd07cc3b05e0582cb41f63e3db08
22	0	0	22	809	NODE1GEN_058881_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qkg_L_bb045_mpn08_arm_P3_qkg_L_backbone_P3_qkg_L_bb045_status_NEEDS_RF2_AND_DOCKING	204d959ea70e3d6fd4156f14ea5e69c6fd82a6b18df02c6a3e49cd1ac87fef33	42e4950cbf3757dc30453e253535079f6473f17fa6aca1ba6340a7cb7b66e016	0f2fb001d010f3c3f7fffbe0e01884eff93843fb1c22ffa3c769d3c9aa8b5757
23	0	0	23	817	NODE1GEN_190370_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__302338F0B09B5608	ef7c67a76d0305ef8772377fe4f3daed64a787edb16348957a22820ff6cbc417	0b6112f2a04ae5e0bfb94be98467f9b127a7e12a1957cf6881a89b5571422511	4078a4b7888163ce220bffb957373728817250f8fdd57584d644ca8d71f18dcd
24	0	0	24	825	NODE1GEN_042375_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qrg_L_bb059_mpn07_arm_P2_qrg_L_backbone_P2_qrg_L_bb059_status_NEEDS_RF2_AND_DOCKING	10cb76b7e4fb143c11ddaf5c187a9e297b5b21b2816f9b405cd1badc36d365e6	e560a33185f84fa163dca7e2b284b85d545c3ff95e8168776de438999826fce7	59db4d30a6e7f366cc0b75a49b72998d5e12a13f1e50485f6fddc7a8388dbab7
