selection_order	node_index	source_shard	source_shard_selection_rank	release_rank	candidate_id	source_candidate_row_sha256	source_eight_job_ids_sha256	selected_four_job_ids_sha256
502	0	2	2	635	NODE1GEN_059363_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qkg_L_bb087_mpn07_arm_P3_qkg_L_backbone_P3_qkg_L_bb087_status_NEEDS_RF2_AND_DOCKING	172b67f0d1cafead35916c9d4add41187e748c5a94726de2d57ce8d4a425420c	9e8b15234373f31006bf202acedafef8ef6535cb408563e835ffc2d11e8d948c	43ce252199beba5e8aa43b5dba91f4d5a7e47221e1ec98f9433769319c4c9f31
503	0	2	3	643	NODE1GEN_176574_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__A6DA72111223F4AC	5401c4c51d84f7ee4998a6d955fc32a141170f9b179af296a26e0171afc76700	e69df5c00ffa99ffecea5fa8e70785f069a03fc44d4f98d381961500f1698ea3	ad7f54c199b914c8ad6b0d30e6e1ecea5719dd2a8554fd497a2972eb4c7176bc
504	0	2	4	651	NODE1GEN_203076_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__AB36ECC078CD0BE8	afc18c3d27333020f6eeab49bb29438b36183cefff7c61d5006a842a2dea0ce9	0a53fb598633f9f9e2d2c6a226da3ebb2fc373fc1fb8989c311d3785c3b7a940	0988e88f0fb28e01a512724becd31d6871ea8fd6914e9c83447f7b083fb6c084
505	0	2	5	659	NODE1GEN_154777_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__A1DF126AF667D4CC	704fa31a4ba9255667787feff485a88bb3d248206cf80f1015df4651e482eabb	1e11594aabae44e7a411b17a011b0f30275fccce5ebdcd4c46a48e910c4bed83	2ca481b52c7a876c5d676694f000f259f7ba8613e6105a7c3302444718192ec8
506	0	2	6	667	NODE1GEN_167460_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__EC4C1FE9A4FD53FE	076d28c234d916fcccca60a29b0253dea297484040b388e0882575d4f246da4d	9d0dbd9d46112d1fd6799740d96e05d3ebc8b5228c27538da93df88d68ddd4dc	d743ddac027fd3b933e015dbd7ac9f714ddd7fe5f8288d630b87a50f2c7e5468
507	0	2	7	675	NODE1GEN_078935_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_ekg_L_bb337_mpn07_arm_P4_ekg_L_backbone_P4_ekg_L_bb337_status_NEEDS_RF2_AND_DOCKING	84c46b6893704fec04199bd72572871f7d95e9aeb1c4eb382c1b1ca9252efe2a	3745e5b455c1b6c540b054f81098870b915ec09e00aa292f267187ad5d09cdcb	2db042b73e8e246212db47fa4620f1e1054389b3a9ca35509e7973549a3974c7
508	0	2	8	683	NODE1GEN_201767_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__7F1508F850472C3B	57b419fc62a106a9353ab1ff151761fa3535260e274cc13cca4c92acb8c18382	61712c1a1d0a88a87b19e95a6eaf983b38ad37f5ce2688b6466ce7118565fd15	b763b80347a16485a560c366d948b220d0c387c339c0130b1163e306377aa1be
509	0	2	9	691	NODE1GEN_180884_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__54C006CE17309E8B	927eecda03758a87d47babe30c0262aacd31e727593af03745cafd77d873ad9a	20461c9db53faafbf9e9bdcada1203eeefa42b717551b633f93dd18a4442a2c5	be21f3c7041f61abe6383a3bc1a532465d390f2f95277ec75e211ee93016a616
510	0	2	10	699	NODE1GEN_207388_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__545C6478C11B90A9	6a3ee4fd806c355c1f85c4fb6e77aa6a9a9556c2e14d01c02c60b6f2cee1e99a	349f74c4a4abc9c25f58becdbb5dd319cc4ce8f4ca720f920fbb7c4ae0b2e60d	5d31a5845e739a26c1d1012311f7dabd84b47e8eb79fb9cf7769064b633e9b3d
511	0	2	11	707	NODE1GEN_062167_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qkg_L_bb329_mpn09_arm_P3_qkg_L_backbone_P3_qkg_L_bb329_status_NEEDS_RF2_AND_DOCKING	64b2106958e5a1f9b56ae25d0106c715f2c8ce04ef110f96bc0641b9bbae0abb	235c2072f33326f049530e6be80ec9be4020465e004c013a4a39aea0ef8c5575	ef7a1d6c8aa84415eca111ba2cd1db1c06b45f1701392f93291b8705af7987d7
512	0	2	12	715	NODE1GEN_102412_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_ekg_L_bb204_mpn06_arm_P5_ekg_L_backbone_P5_ekg_L_bb204_status_NEEDS_RF2_AND_DOCKING	5d36112df59a2c447308a7fb1771fc6d37df280fccf6af4e9aaa46dd2aeb01fc	8ede1a9de496846790fd9d3dc75cec1b28bb08c6a70add8610872292c6e545b4	f42514d5f186c3b23931ba0233a73e7240a184f23a08897e2081be0a26b842e8
513	0	2	13	723	NODE1GEN_044276_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qrg_L_bb220_mpn02_arm_P2_qrg_L_backbone_P2_qrg_L_bb220_status_NEEDS_RF2_AND_DOCKING	53a56fed9fd8aa456219ecb3d052202fd46d16b1003c586f670509d23db1448e	1d88ec6516878070c3f8a36574ab73ac5903f6fb44cd89122265e4c295596097	0772d4d205520170374fb46d9462e711130a6b7df16fa0acd2a3211b047014bd
514	0	2	14	731	NODE1GEN_168154_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__23DF3D7AF0753B7B	dd578b575a656168631e3d9d2ee7821a40cf656f65bff6f92bc75b849c2ee777	9497f84ce295c1c9a8d8975772932270a7eb5652264f12527693015798f8eb20	d53317dfb56afac87ccf15d31aed7ec4077425e85f3168ebb37e8fefb563bee7
515	0	2	15	739	NODE1GEN_077641_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_ekg_L_bb225_mpn03_arm_P4_ekg_L_backbone_P4_ekg_L_bb225_status_NEEDS_RF2_AND_DOCKING	4b33836151ed267163e551ecdf9cd3bcf0cad930031c8be195b604b58a9782f1	8ad9814452ddecdb17df5754d0a2f4fba5300d823d1e3f8b22f0844af64a2fce	6d515c9d281d3be048921c1f78a045479649f91b5026df328de0ca0b9fe66093
516	0	2	16	747	NODE1GEN_109894_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb131_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb131_status_NEEDS_RF2_AND_DOCKING	694ef89989b0d29a12de736e3884973b8deec9233fc5c2253e6af1f77b6e8c70	94f18a284613cc5dd39a6c9f6f75eb184c78029bca973025e0bece6653598e48	a6f0eee2818314d7a9d27e919c1459885ae140e1fe2e99890102c71118346839
517	0	2	17	755	NODE1GEN_296265_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__F5C04028570DD0B6	8c7bd46d681dfced55ac5fc3a7f9a27ef550b6894f8985ca9e800a6371a6934a	0602fd0de2fbaaf11fff16e27a671bca0fb9d0c9eb7a34e6670cd2598d7ce96a	2c6c7100cda733d252697380410313840e63194de7e55b54c74932981bb9f81c
518	0	2	18	763	NODE1GEN_110915_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb220_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb220_status_NEEDS_RF2_AND_DOCKING	24820c6c0a51664e0fcf82faf072510738149cac6ecbb7b92f360868882151fa	548326c2bb4e53f62a4034ba587e1a5274ae1fa10672f1c173af629d9986d122	f625bd3378e2b26879274a1636025abcab97479bc407f23fc446de155487b9aa
519	0	2	19	771	NODE1GEN_111422_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb264_mpn11_arm_P5_qkg_L_backbone_P5_qkg_L_bb264_status_NEEDS_RF2_AND_DOCKING	2c2cc79f1545f1012458b71afa843dd3c69f564fe606cf2aba5b29c02ebcf0b7	07776c2449d081a140e6df32bb74a3ee99c27000b1592671ef6625c9bccd678c	499a18850921e4419dec8e204892346149a0c2afa38e481c0e6eacd7b4e08a28
520	0	2	20	779	NODE1GEN_214425_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__DDEBC1950DE20A25	22a32b96b237c738f6df5ad7db6276c64a2f28db35f4502000c9124e5e192385	149757851ad87d5e0fb12baa2e9a3580e8cea5f44633cdd9b36259de2aeafeeb	51315623c56973680ebb7f8013d9048a1440a30be85fa600bd2c1a03e9f62efc
521	0	2	21	787	NODE1GEN_204223_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__C6A557FC16B6FBAB	c1eff954bd6463f71968ad60e666707d61a1591aea8c99ccfd7b774430ab6812	8eff1b21ddada7a7356b7b3ad24380e58b7aaf733d305dd1855e8c52c3b11f4f	802b2c460958b91da8366f9ee5f118ce6efc0dc2025a3e0c3d0b320a9ac1e0b0
522	0	2	22	795	NODE1GEN_204824_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__186F1A26BFCD7E86	a04d74e7ae79649020b4c61c2655aa18a5134b868f8f5b31f1e4a93d2fa87c66	35b1c2057a6faed33d4845cbfa1b0c5b8feaa0b4ebd8c7cdcb4e4beefb3779e8	2d5bfd7adc1e9e836ca043d47a10d54b2a61713b5725b2962b54429bee9ee254
523	0	2	23	803	NODE1GEN_144438_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qrg_L_bb238_mpn04_arm_P6_qrg_L_backbone_P6_qrg_L_bb238_status_NEEDS_RF2_AND_DOCKING	e109e4e895fd754fea127d909ae742cfb9d71f411f42c7dbd8e6ad5a5f7d6b21	084d5e68503c793db07fda82af19cad25949b3752ad8d655740c9fc0e5a61e8e	5cf43f28ad18aa86fd2476ebb8bdd8360e1aaa5d4a447ed418ad9d3bc2b18263
524	0	2	24	811	NODE1GEN_085051_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qkg_L_bb145_mpn04_arm_P4_qkg_L_backbone_P4_qkg_L_bb145_status_NEEDS_RF2_AND_DOCKING	14f8c0df73a249c3ddaa19b24597e0457d4571b7397df333a6ff5ec1ddc7fca2	bb97494fd1497f900f8364d4acfcaca1f4d55e33751b4f88bff657d7f68c30ab	d75b8ebfca6bc52edb145408b9c93d0341899984ad15b9c4e148aea9964a533a
525	0	2	25	819	NODE1GEN_151333_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__1AED951B374CFDFB	3c68e2550a394d14ad1c9c817e6cb3e7b7b7d9376f3f77e1624da466329e534a	b93a05d6be647f8f4f5f1d481cf0f96941a85c5495a52d8a43359623358896c0	2f998d8a0e7a50cecae2c132ab23d01314a66546e2bf0e1e2588a51b1439ae6b
526	0	2	26	827	NODE1GEN_200768_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__1662862BA22F6B96	7d9a26af975b9564e049e7122aee0575ca76b4f8b1d3a5fb05f13f11b5fbb615	fd31f0dd7f71f1cadcd708c9d9067f8a5bddce49ffdc5536285fb9221b52c86e	9b793f928fd82a01314ff6f47cc400f18237c6d21d8eaa34725333886c690a62
527	0	2	27	835	NODE1GEN_062100_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qkg_L_bb323_mpn11_arm_P3_qkg_L_backbone_P3_qkg_L_bb323_status_NEEDS_RF2_AND_DOCKING	b508ca9fd49232a4f696a7cbcdbc8bc330a873ffd5a09f5e8cd770fb6be26fc2	4932155f2d317b2a46fd206bda40761dfb409d1ebe1209d87c87374f871985f2	708533c5a850eb1ef27422c0c6827a4fca317fa4fbd5897134f60e3b18770114
528	0	2	28	843	NODE1GEN_280389_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__D884B319F899C0BE	1927483adb6955c75cb8238beade044399e5554c46273d422b873d904b3f11b2	cf2a302434603be178ef3595c9a163f31640e4d4bfd19b4c22b61568ece2dffb	2fba2ca6a3670e6e066cdb2a1798e867afe96edb5303cbcbe28c1a22364beed7
529	0	2	29	851	NODE1GEN_145087_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qrg_L_bb294_mpn01_arm_P6_qrg_L_backbone_P6_qrg_L_bb294_status_NEEDS_RF2_AND_DOCKING	2c960d0c943ba45d6bfcfea9cba11351396942d82b782d811b56b94d48b52e97	b48be4b1af00cd9e15d692f925a03d072305dc2971d9a8f5a633e0d74951e31b	f214d657dd43b505327a13f6397a77edd2ad0d1005316290ed5c8ae04f544454
530	0	2	30	859	NODE1GEN_178291_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__48F724CBCB763921	dfa7f40b22f6d489c097a2f6742cc020b02eecbbd65f5d5af759006fddc66f84	b373b8552a5de76a041d9665d7b2e504ba48918dca97a67ce41740365d7034c0	dbe8ff0a3a80ee75e84291de305151c401d6d45a74b08d15c4fa7ca734cca896
531	0	2	31	867	NODE1GEN_179045_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9BA843DF1FA24F64	d2577d3240b312f1250222caa358d5c669417cd5c3450d33e2efd7e83638cf18	827349a65c8f2dead1d5d45437f7ff9d8c5f96c91bf47ca4a18a48c974921176	6944d25f0ffd3de261e562aecb30150f51cd74110ee2755c72a6299ed395ec23
532	0	2	32	875	NODE1GEN_166251_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__3E38C8DA7726DEE9	ed0046ca03804327e14b6caf6871eaddd0bd6aebeb4cf06ebb1466b585b0bbf6	027a6889b26170367be619acc3bdb7496ce5877d23bea84cd59b72f678abda2b	0ea526547b1ff953f4bff77a8c6d80b83bdd2c89bd970d2d565295353b94e787
533	0	2	33	883	NODE1GEN_067738_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qrg_L_bb090_mpn07_arm_P3_qrg_L_backbone_P3_qrg_L_bb090_status_NEEDS_RF2_AND_DOCKING	c253aa29c43fcff8fccc4073a8206019be3b285bb2757d05d4f7a155d705f8c3	98e9987db1717057d599c640d231e9aefb430b307e76268242aeba51a543a3a9	783f195ff1427dce3e8a54ba241c9debaf59b8875cdcdea4a9468f0babf6abc5
534	0	2	34	891	NODE1GEN_182425_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__B91B8B3C95CB70F2	688ba9b3ff0c85354cc8e9c6a3a144269ac1fe0af983396a82837dd09395a494	926a4fb264deaed9335ac2aa889a2460547538ca84c8dbf26aa788028212158a	206b747f618554f00c57152a0bcdc0e5e97ddf9e6dfea9dd17b52d5f05f23e1b
535	0	2	35	899	NODE1GEN_095508_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qrg_L_bb328_mpn10_arm_P4_qrg_L_backbone_P4_qrg_L_bb328_status_NEEDS_RF2_AND_DOCKING	29687d634434c6fe881e2e814e69f0e3282109767fc1b54bb9b60b20d90d596e	c42f746a6363c3e4f881b4cf1b2778041328ac2ea6aad726628897a3a04184ca	8db986fb027a76ba04fb7351ffa4c6737f98a7908c5ccdc0bf5f319652bdbd7d
536	0	2	36	907	NODE1GEN_166775_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__28317A258752203C	5558578738bce590f8bdd17938dfb7f432dc39ea93ac860387d0ea2369b00594	a4cd027ca9bda517e7d3a2579fe7947a4f256a4118e71999f314e3884e2db243	28c519106e7e4b37ee48899d919dbe3482a5504274154ec31bb7b3f7ed15be40
537	0	2	37	915	NODE1GEN_173213_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__BB0976907E2A1C8F	a3bee11f41221d3a906fd0212d5a4e63fa899d1c350e8d8ebc8e7b1511cb217a	410959ba3c25495732964d775e6f1ca6f85bb03451a67aef3ac12b361de4bdff	3c411df49c9f4ed19eaabc5dbe25a16d8cd10ca5ae477a3f2e4df59fa327ad8e
538	0	2	38	923	NODE1GEN_174403_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__D7C537A8ED59B54D	25bd219a3f58986d42c402dffcd5ad30bd937fc5739f9f1ca96bed2c8c58f96a	156252862bb8a42ee230ff4550e5a115e9529b221176178ba3a66c57f0490958	beda018cc7fee67da9f5ea0bda965e7c75db9fe1a9c8082d8628c29e84cada47
539	0	2	39	931	NODE1GEN_145231_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qrg_L_bb306_mpn03_arm_P6_qrg_L_backbone_P6_qrg_L_bb306_status_NEEDS_RF2_AND_DOCKING	887d41743a704523d0335e9f8a3cc72d6eebf4f2ca5524e462b7e78fc154935e	9d9950e32bde8dfa8605dec9046c5d37303620d689df9deffe5ad56dd9c4c1b4	6f962ffe874ee2013a1a57dde526f058930d032ba9e44ffadb7a49696fe39b3d
540	0	2	40	939	NODE1GEN_150579_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__81CBB53FE8D95A95	f8244119aae94f609edef55921338ae5acb0fa80a2f6f8933642364b70bf9ded	a39898f917384edae4d9e0f750c74f473a37185c3134f4073975dc8de82f727f	858d65d4cb81885cca1148a86799c17f6df207ed860271f44cf601ebaedc60be
541	0	2	41	947	NODE1GEN_228617_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2BC8FE92FD76BF8A	8dc8fc8315446504ddcf7df1baea7a4ab1fd00c95ee1eb1b33f4aad03cdf5d3d	cc877a485b234206f1a48ba46d287cbd137e0e0cc2bc00181d6fec9279c671a5	385dcc122a1e15a6745b3070698e1a37cf6b8e927fafb46f2aae5043d222d609
542	0	2	42	955	NODE1GEN_254706_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__AE1ED9B4967E465D	50efb44804de21a63f2a626a70f75d4eb98f11a61e8ec49b748080d38df9aba6	af5c77146950077e52afc1bd266bfa675d0dc7e953ee0324b5c43f211169f925	de76900cdcc4e7c9d2269c14a38337bcac2245bef1793f202528c3178d54d400
543	0	2	43	963	NODE1GEN_199535_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__26ACB83563E241F0	3473c50f4ec8ee17e6813152ceffa4bb694fc48e695555fe3a5137345c185212	657c328ca65b1aa329416c92f4ee1517f1f1c10fe7d6b12e5b12a2e2cd11526b	f3adeb6fc3b4ff9f673a28259f402769e30c899e7e805863ec66378837e9ca82
544	0	2	44	971	NODE1GEN_085378_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qkg_L_bb173_mpn00_arm_P4_qkg_L_backbone_P4_qkg_L_bb173_status_NEEDS_RF2_AND_DOCKING	d470f0438640b4bf090eb5674e6b8d2b52ec4a8df73b33a439472d5ee90f1446	221fe950b988a3c8f9f0467aa8826aedc3d0aa3c5c543e1078bff9e65ce259d4	03dc4ac5ec41caffbc20b9d0634d8db18cd5167f1b77546c7b411d3c810b35b4
545	0	2	45	979	NODE1GEN_172451_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__34FCDBF07BEC45C9	d19bb8f2e546fec4bf4e2f70e89dadb35751a793eadc73e2409bb199cd3431ef	49f807f5ed3de25d285f9aac2f2d4ae8496f83d32142e4fc7b9f71e1e38a40af	b6b42077279961d825515f1985ee97d5cc7ac07ed115c9e9cc5804bfaa59517c
546	0	2	46	987	NODE1GEN_036475_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qkg_L_bb267_mpn00_arm_P2_qkg_L_backbone_P2_qkg_L_bb267_status_NEEDS_RF2_AND_DOCKING	1b5e5014874d6af15b359444b8cb5ad70b079215ae4d9f0279cacd0c6b99d983	b5529b1f7f1d5f40f24c6f8dc4092282f6dfd21bc2e3ecf09928e954238dbde1	e2e574901a61cde94addc3f47bf942fe203d9d966e3d026b2b4e806837617190
547	0	2	47	995	NODE1GEN_036355_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qkg_L_bb256_mpn09_arm_P2_qkg_L_backbone_P2_qkg_L_bb256_status_NEEDS_RF2_AND_DOCKING	6841009041824bb1ff064466f18f9862ea088831b1f722f23e1ffdcd4465e836	95d0adb967cdd250fcfae92362a0f36a3c586eff5d51a6b7fbeb65b1400ae19a	ecb0dceb93b7754f9ece4c3a9c1e21e739361edc3bfc8f26e3ce59ebee4f2c44
548	0	2	48	1003	NODE1GEN_179673_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__3F50D54F02C6608F	b917d598f14ac6a49cbc615149b610638e01db17bbcb12c641facc2d66a7d45b	aeff72c57234f37027dc2a4fb233ae4d2eaa1b441c1eb0148ebe7f39e9a6f86d	1aff32c2a2f34a341dd8dddb6684340eb775c73e1ab1e9274452386989063e4c
549	0	2	49	1011	NODE1GEN_003227_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_ekg_L_bb274_mpn01_arm_P1_ekg_L_backbone_P1_ekg_L_bb274_status_NEEDS_RF2_AND_DOCKING	43618e2dd50ab6d1b7b1bbff63078a81bb721489649a18a92831fc447b6b1e43	55d54db2835c622b7eb7fa3d8bfd76d946220120315dc58805dbe2c39e0ee4af	8c9ce7d10f19479bb4943053f6177e8aae405a1fa27989c9dffde36621d7896e
550	0	2	50	1019	NODE1GEN_158471_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__11578BC17B88B7EF	cc50b5bdf00cbb515c801bbe5cc1c521ceec427d65eee46e135c035d5e788c02	5f669f5e551383ceb6aa543707f4cbfb37b00afce707a721e404d918869fffc5	dc333865ca77a80b15c3d2ed244a3fda3736c36cd115d561e17807468b89390c
551	0	2	51	1027	NODE1GEN_102215_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_ekg_L_bb187_mpn06_arm_P5_ekg_L_backbone_P5_ekg_L_bb187_status_NEEDS_RF2_AND_DOCKING	6111d79f9df52652cc428afbe7dd92ef7f627deacad01ea44eecf9b218165851	0a7c21bf000503110c2519f5f40142b4a3985f244f00fd3f4a2f25b08543fafd	ae0bf6ad2042bff901522f41ad878855ce4f0529df1580518a6ac9f8f806a705
552	0	2	52	1035	NODE1GEN_112026_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb317_mpn11_arm_P5_qkg_L_backbone_P5_qkg_L_bb317_status_NEEDS_RF2_AND_DOCKING	356d7bc4bf2647ce8fa7568ceda5ee15eb7104e3bedc0891245313428862749a	ac7da9c2b6e28442c91a3ea87f275f0560b7bec1cf85096a4afeb6c459951970	6d8a7f0fc6a3618b084d24e48c4be4f042af3d2c24f68eca5ca7f608d266abe4
553	0	2	53	1043	NODE1GEN_018326_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_qrg_L_bb138_mpn10_arm_P1_qrg_L_backbone_P1_qrg_L_bb138_status_NEEDS_RF2_AND_DOCKING	479125e1a45ef784da45323c479340a1c4c964b7c45bb96f3a6d99bb825546ca	4fd7322a560c24150377074e6006792bf74a62555b8582d0928e36067a74afbd	5b603572568e20fd55ee8f9f180b5aed38ce20de737363cf94512180a64b6ce1
554	0	2	54	1051	NODE1GEN_093592_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qrg_L_bb164_mpn02_arm_P4_qrg_L_backbone_P4_qrg_L_bb164_status_NEEDS_RF2_AND_DOCKING	ca543e560f6beead7d94c806f984f7241123fe7652ef95f97fe266ddb68745f1	5424cb0c29254b5589dbd3a90ac2901f952825dab5e78516ad849daa6d489d6c	07f209d03e4bfa1066147a159f54a7ba2800df1de632a477c0f776b9436a97a6
555	0	2	55	1059	NODE1GEN_172797_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__FC6F40D881310AC6	a3cd8aa5bba54dc05335fe23c8ca38e2bfae2dc7fce16bc4ddc049d9bd5593f4	6f423da01ebb2cfedfa4994433291dd12536a2c0ee7341df33e30fa5dd587e3a	737f19e231ebc42de5dd2e2fd23dd084e84e72c64974f4db516ae232d20ad510
556	0	2	56	1067	NODE1GEN_069598_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qrg_L_bb249_mpn04_arm_P3_qrg_L_backbone_P3_qrg_L_bb249_status_NEEDS_RF2_AND_DOCKING	cd3264c558c0b032014882d177ff10345d80155384064ff3828400d388769030	5c35440efb7af17090f964991578357a83d0ca302213a088f96da5c3e4646838	83d0e047f52241ff59abb1474d33d79dc98ade6f443b8df5e211226bae19020c
557	0	2	57	1075	NODE1GEN_134626_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qkg_L_bb108_mpn02_arm_P6_qkg_L_backbone_P6_qkg_L_bb108_status_NEEDS_RF2_AND_DOCKING	0fdddd5a383709888de053836ce56e586fcae6d6f26bad5d76a17d8928410250	52c4d5799c32673a52ef83c96b66867e0b44ba831442312da4df4e4070f519ee	f00f7df8c3e6dc629a0edf0a23afd869dba42203812c91b4da15841d3276af81
558	0	2	58	1083	NODE1GEN_045820_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qrg_L_bb358_mpn04_arm_P2_qrg_L_backbone_P2_qrg_L_bb358_status_NEEDS_RF2_AND_DOCKING	4938218b1971a1d18f6e0a963b4c8fc5ccaa4302b0144a67716fb632146bfedf	1a508ee25fb2bf2f643e497c6bf5bbd9b46b94692370b834e5f40ce89b95547e	8ff43c40325a9ce332263c2e95324afd580c2c87af667c8727cf7bc1fb8919eb
559	0	2	59	1091	NODE1GEN_174915_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__92ED5072F5FAC0EC	06b08b69a23f9c2df1696d001c086f18993ebdce04c55811e14a00559b314c13	5f43c4f6df349bf7f2018c29fa37fe86d185e3e40aa03f28c101df77d1d51fd9	f9c5f432338a1ba27f48488c183d6ec5d20ad251d7243600442fcb63a4d4e92b
560	0	2	60	1099	NODE1GEN_060040_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qkg_L_bb146_mpn03_arm_P3_qkg_L_backbone_P3_qkg_L_bb146_status_NEEDS_RF2_AND_DOCKING	3b82fe54b36dbe88a364bdfe819f12d2ab7fefd773077293652fd30aeb6b2bb9	38f2f74fa83dce888ccefc26943c88b792152ab6bc441fe9929fa72c50b016f9	e859061b88760e2b8406cae560f212a2f254fa6bd1b23e9b69f69f29f1bc0df0
561	0	2	61	1107	NODE1GEN_182775_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__0F25A85401168A24	eff159ca4b687b0fc315de92127c06f9236cbeac26d93032e9eeed1ca0643bc1	eca12c2da7e21b01d5c17cf91d39d090c5768b15bba5c7e9767471cc2ebf1f1e	1d7b226ff7f69b09cd19eb647e04176c4f8258c2a36e905e0151c1d7ef53ee09
562	0	2	62	1115	NODE1GEN_170812_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__6A774CD0C3B498A3	6ca01370674547d0b08559d1a6a8849775fb12b345e38f301508a506890b81ac	db43ae942483a8e65205ac071da6ffdd5eef17b18b8717a6ffaff5c47f51f891	b5cd75a975433c37741e767d97e02a7753a9c5f375b03ad581a610b873d90fd5
563	0	2	63	1123	NODE1GEN_141738_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qrg_L_bb005_mpn04_arm_P6_qrg_L_backbone_P6_qrg_L_bb005_status_NEEDS_RF2_AND_DOCKING	8d995a70c1bfd5e4dae6f7b255d92fbeedf0e7dbada07a2ec3539cd599d92fd6	30b0e79377079cadcaece6054368564b43274d018a447c2247d127fff0a846d1	9f0f9bae6cf76c508fae5db2891cf43a1321bd1e1cd341db35f0175bdae92a2a
564	0	2	64	1131	NODE1GEN_094796_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qrg_L_bb266_mpn06_arm_P4_qrg_L_backbone_P4_qrg_L_bb266_status_NEEDS_RF2_AND_DOCKING	fe0c52b22cecc58c405e5280a78617bf1739f6197b731c3c8f3e1b46c0868419	c76074fe3c03741abf37eee3c80d3dd1460aea947d9ab35f5e0eeb01e1c502ca	b839f2057f8467085cb3e8fb0c5c7426630bb5379f53987280a72c29bf0d36a0
