candidate_id	job_count	seed_count	complete_seed_count	stage1_any_strict_dual_reference_job	stage1_any_broad_dual_reference_job	stage2_any_seed_dual_conformation_strict	stage2_any_seed_dual_conformation_broad	stage3_two_seed_dual_conformation_strict	stage3_two_seed_dual_conformation_broad	strict_seed_passes	broad_seed_passes
P1MCPUFP__CPUFP500K_0001__00335	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00337	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00342	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00348	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00364	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00366	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00371	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00385	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00386	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00392	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00398	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00415	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00421	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00428	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00431	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00449	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00451	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00452	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00458	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00459	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00466	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00472	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00475	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00480	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00485	4	2	2	True	True	True	True	True	True	2	2
