candidate_id	job_count	seed_count	complete_seed_count	stage1_any_strict_dual_reference_job	stage1_any_broad_dual_reference_job	stage2_any_seed_dual_conformation_strict	stage2_any_seed_dual_conformation_broad	stage3_two_seed_dual_conformation_strict	stage3_two_seed_dual_conformation_broad	strict_seed_passes	broad_seed_passes
P1MCPUFP__CPUFP500K_0001__00930	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00932	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00935	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00041	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00144	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00281	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00351	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00413	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00453	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00499	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00555	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00638	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00654	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00716	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00815	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00886	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0002__00902	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0003__00167	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0003__00238	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0003__00465	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0003__00496	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0003__00508	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0003__00623	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0003__00748	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0004__00812	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0004__00928	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0006__00015	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0006__00612	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0006__00638	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0006__00795	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0006__00809	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0007__00014	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0007__00351	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0007__00376	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0007__00416	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0007__00699	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0007__00700	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0007__00710	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0007__00745	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0007__00866	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0007__00892	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0007__00915	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00038	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00076	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00118	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00121	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00139	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00221	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00271	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00314	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00334	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00342	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00368	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00373	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00397	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00426	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00432	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00514	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00565	4	2	2	True	True	True	True	False	True	1	2
P1MCPUFP__CPUFP500K_0008__00569	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00580	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00609	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00626	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00647	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00674	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00766	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00773	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00789	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00793	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00817	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00838	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00844	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00851	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00876	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00896	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00898	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0008__00932	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00006	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00010	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00019	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00025	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00027	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00028	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00029	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00036	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00037	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00044	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00050	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00054	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00065	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00072	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00081	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00082	4	2	2	True	True	True	True	True	True	2	2
