model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../1_rigidbody/rigidbody_24.pdb	-	31	4.472	5.356	0.158	19.959	15.910	0.128	5.784	-	-	-	2171.530	1221.670	208.952	928.813	0.000	0.000	0.000	-7.400	1062.020	-0.928	4025.600	0.000	0.000	0.000	2207.900	37.296	0.000	0.000
../../1_rigidbody/rigidbody_2.pdb	-	32	5.304	2.834	0.105	6.073	6.381	0.329	2.333	-	-	-	1700.830	1221.660	208.952	1043.360	0.000	0.000	0.000	-0.933	1062.020	-0.720	4025.610	0.000	0.000	0.000	1738.370	38.265	0.000	0.000
../../1_rigidbody/rigidbody_22.pdb	-	33	5.450	3.565	0.158	13.925	10.164	0.193	3.910	-	-	-	1532.560	1221.670	208.967	869.331	0.000	0.000	0.000	-0.265	1062.020	-0.977	4025.600	0.000	0.000	0.000	1537.510	5.926	0.000	0.000
../../1_rigidbody/rigidbody_17.pdb	-	34	5.703	8.806	0.026	21.128	17.900	0.065	10.404	-	-	-	1994.220	1221.660	208.945	1045.680	0.000	0.000	0.000	-5.313	1062.020	1.267	4025.610	0.000	0.000	0.000	2021.750	26.262	0.000	0.000
../../1_rigidbody/rigidbody_29.pdb	-	35	6.069	8.797	0.026	19.494	17.308	0.071	10.283	-	-	-	1637.480	1221.660	208.944	956.228	0.000	0.000	0.000	1.611	1062.020	-2.612	4025.610	0.000	0.000	0.000	1660.660	25.790	0.000	0.000
../../1_rigidbody/rigidbody_36.pdb	-	36	7.161	7.167	0.079	20.115	15.871	0.091	8.157	-	-	-	2046.080	1221.660	208.956	1333.700	0.000	0.000	0.000	-2.628	1062.020	2.334	4025.610	0.000	0.000	0.000	2081.580	33.171	0.000	0.000
../../1_rigidbody/rigidbody_3.pdb	-	37	7.384	6.225	0.053	20.979	16.355	0.083	6.289	-	-	-	1687.370	1221.670	208.956	1124.450	0.000	0.000	0.000	2.690	1062.020	-1.115	4025.610	0.000	0.000	0.000	1704.220	17.964	0.000	0.000
../../1_rigidbody/rigidbody_32.pdb	-	38	8.985	11.391	0.000	25.974	21.309	0.038	13.546	-	-	-	1982.440	1221.670	208.944	1013.940	0.000	0.000	0.000	-2.497	1062.020	1.425	4025.610	0.000	0.000	0.000	2021.070	37.212	0.000	0.000
../../1_rigidbody/rigidbody_20.pdb	-	39	10.776	2.486	0.237	7.049	6.285	0.365	2.263	-	-	-	2616.040	1221.670	208.961	1026.220	0.000	0.000	0.000	-3.428	1062.020	-2.296	4025.600	0.000	0.000	0.000	2673.810	60.062	0.000	0.000
../../1_rigidbody/rigidbody_39.pdb	-	40	14.163	6.177	0.079	18.393	15.217	0.104	6.174	-	-	-	2140.810	1221.670	208.970	983.010	0.000	0.000	0.000	2.243	1062.020	-0.045	4025.600	0.000	0.000	0.000	2179.430	38.664	0.000	0.000
