Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0049__00338	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00086	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00086	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00087	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00109	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00114	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00090	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00091	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00092	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00094	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00112	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00095	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00097	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00288	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00193	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00106	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00161	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00195	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0197__00336	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00118	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00325	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00119	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00105	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00108	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00108	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00108	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00109	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00110	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00111	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00113	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00113	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00115	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00128	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00461	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00118	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00118	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00119	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00150	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00154	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00123	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00123	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00124	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00126	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00152	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00127	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00129	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00381	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00366	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00146	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00344	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00267	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00006	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00154	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00479	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00152	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00137	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00141	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00140	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00140	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00141	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00142	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00143	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00145	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00146	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00147	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00162	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00580	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00150	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00151	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00152	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00188	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00203	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00155	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00155	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00156	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00158	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00187	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00159	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00161	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00469	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00508	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00182	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00532	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00327	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00066	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00195	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00594	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00187	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00169	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00174	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00174	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00172	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00174	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00174	pvrig_8x6b_chainB
